dataset	no	nbSentences	elman	perf
UD_Ancient_Greek	0	890	0	0.99966601
UD_Ancient_Greek	1	1780	0	0.99966601
UD_Ancient_Greek	2	2670	0	0.99966601
UD_Ancient_Greek	3	3560	0	0.99966601
UD_Ancient_Greek	4	4450	0	0.99966601
UD_Ancient_Greek	5	5340	0	0.99966601
UD_Ancient_Greek	6	6230	0	0.99966601
UD_Ancient_Greek	7	7120	0	0.99966601
UD_Ancient_Greek	8	8010	0	0.99966601
UD_Ancient_Greek	9	8900	0	0.99966601
UD_Bulgarian	0	890	1	0.96330450
UD_Bulgarian	1	1780	1	0.96336810
UD_Bulgarian	2	2670	1	0.97220809
UD_Bulgarian	3	3560	1	0.99675655
UD_Bulgarian	4	4450	1	0.99796489
UD_Bulgarian	5	5340	1	0.99790130
UD_Bulgarian	6	6230	1	0.99802849
UD_Bulgarian	7	7120	1	0.99860086
UD_Bulgarian	8	8010	1	0.99790130
UD_Bulgarian	9	8900	1	0.99815569
UD_Catalan	0	890	0	0.99806181
UD_Catalan	1	1780	0	0.99830409
UD_Catalan	2	2670	0	0.99816565
UD_Catalan	3	3560	0	0.99844253
UD_Catalan	4	4450	0	0.99875402
UD_Catalan	5	5340	0	0.99944623
UD_Catalan	6	6230	0	0.99944623
UD_Catalan	7	7120	0	0.99904821
UD_Catalan	8	8010	0	0.99941162
UD_Catalan	9	8900	0	0.99918665
UD_Czech-CAC	0	890	1	0.99833703
UD_Czech-CAC	1	1780	1	0.99963045
UD_Czech-CAC	2	2670	1	0.99944568
UD_Czech-CAC	3	3560	1	0.99981523
UD_Czech-CAC	4	4450	1	0.99963045
UD_Czech-CAC	5	5340	1	0.99963045
UD_Czech-CAC	6	6230	1	0.99926090
UD_Czech-CAC	7	7120	1	0.99963045
UD_Czech-CAC	8	8010	1	0.99935329
UD_Czech-CAC	9	8900	1	0.99926090
UD_Czech-FicTree	0	890	0	0.99765667
UD_Czech-FicTree	1	1780	0	0.99771676
UD_Czech-FicTree	2	2670	0	0.99759659
UD_Czech-FicTree	3	3560	0	0.99993991
UD_Czech-FicTree	4	4450	0	0.99993991
UD_Czech-FicTree	5	5340	0	0.99993991
UD_Czech-FicTree	6	6230	0	0.99993991
UD_Czech-FicTree	7	7120	0	0.99993991
UD_Czech-FicTree	8	8010	0	0.99993991
UD_Czech-FicTree	9	8900	0	0.99993991
UD_Czech	0	890	1	0.99705042
UD_Czech	1	1780	1	0.99785695
UD_Czech	2	2670	1	0.99788575
UD_Czech	3	3560	1	0.99737879
UD_Czech	4	4450	1	0.99807586
UD_Czech	5	5340	1	0.99752857
UD_Czech	6	6230	1	0.99765531
UD_Czech	7	7120	1	0.99790879
UD_Czech	8	8010	1	0.99778781
UD_Czech	9	8900	1	0.99783390
UD_Dutch	0	890	1	0.99429658
UD_Dutch	1	1780	1	0.98642042
UD_Dutch	2	2670	1	0.98814050
UD_Dutch	3	3560	1	0.98678255
UD_Dutch	4	4450	1	0.98804997
UD_Dutch	5	5340	1	0.98705414
UD_Dutch	6	6230	1	0.98714467
UD_Dutch	7	7120	1	0.98768785
UD_Dutch	8	8010	1	0.98687308
UD_Dutch	9	8900	1	0.98533406
UD_English	0	890	0	0.97370204
UD_English	1	1780	0	0.97832410
UD_English	2	2670	0	0.97908117
UD_English	3	3560	0	0.98123282
UD_English	4	4450	0	0.98027653
UD_English	5	5340	0	0.98234849
UD_English	6	6230	0	0.98354385
UD_English	7	7120	0	0.98430091
UD_English	8	8010	0	0.98665179
UD_English	9	8900	0	0.98665179
UD_Finnish	0	890	0	0.98125297
UD_Finnish	1	1780	0	0.98974846
UD_Finnish	2	2670	0	0.99027053
UD_Finnish	3	3560	0	0.99055529
UD_Finnish	4	4450	0	0.99311818
UD_Finnish	5	5340	0	0.99017561
UD_Finnish	6	6230	0	0.99439962
UD_Finnish	7	7120	0	0.99416232
UD_Finnish	8	8010	0	0.99387755
UD_Finnish	9	8900	0	0.99397247
UD_French	0	890	0	0.99445699
UD_French	1	1780	0	0.99455964
UD_French	2	2670	0	0.99414905
UD_French	3	3560	0	0.99363580
UD_French	4	4450	0	0.99363580
UD_French	5	5340	0	0.99353316
UD_French	6	6230	0	0.99466229
UD_French	7	7120	0	0.99373845
UD_French	8	8010	0	0.99425169
UD_French	9	8900	0	0.99445699
UD_German	0	890	0	0.97262329
UD_German	1	1780	0	0.99674980
UD_German	2	2670	0	0.99724983
UD_German	3	3560	0	0.99674980
UD_German	4	4450	0	0.99706232
UD_German	5	5340	0	0.99681230
UD_German	6	6230	0	0.99656229
UD_German	7	7120	0	0.99656229
UD_German	8	8010	0	0.99693731
UD_German	9	8900	0	0.99593725
UD_Hindi	0	890	0	0.98998024
UD_Hindi	1	1780	0	0.99971775
UD_Hindi	2	2670	0	0.99926616
UD_Hindi	3	3560	0	0.99940728
UD_Hindi	4	4450	0	0.99957663
UD_Hindi	5	5340	0	0.99971775
UD_Hindi	6	6230	0	0.99980243
UD_Hindi	7	7120	0	0.99974598
UD_Hindi	8	8010	0	0.99968953
UD_Hindi	9	8900	0	0.99968953
UD_Italian	0	890	1	0.98574380
UD_Italian	1	1780	1	0.98822314
UD_Italian	2	2670	1	0.98719008
UD_Italian	3	3560	1	0.99380165
UD_Italian	4	4450	1	0.99803719
UD_Italian	5	5340	1	0.99690083
UD_Italian	6	6230	1	0.99607438
UD_Italian	7	7120	1	0.99772727
UD_Italian	8	8010	1	0.99752066
UD_Italian	9	8900	1	0.99690083
UD_Latin-ITTB	0	890	0	0.99715936
UD_Latin-ITTB	1	1780	0	0.99753811
UD_Latin-ITTB	2	2670	0	0.99829562
UD_Latin-ITTB	3	3560	0	0.99839030
UD_Latin-ITTB	4	4450	0	0.99791686
UD_Latin-ITTB	5	5340	0	0.99772749
UD_Latin-ITTB	6	6230	0	0.99763280
UD_Latin-ITTB	7	7120	0	0.99763280
UD_Latin-ITTB	8	8010	0	0.99753811
UD_Latin-ITTB	9	8900	0	0.99753811
UD_Norwegian-Bokmaal	0	890	0	0.99826470
UD_Norwegian-Bokmaal	1	1780	0	0.99856504
UD_Norwegian-Bokmaal	2	2670	0	0.99846493
UD_Norwegian-Bokmaal	3	3560	0	0.99726357
UD_Norwegian-Bokmaal	4	4450	0	0.99869852
UD_Norwegian-Bokmaal	5	5340	0	0.99879864
