dataset	no	nbSentences	elman	perf
UD_English	00	122	0	0.99238900
UD_English	01	244	0	0.99443411
UD_English	02	366	0	0.99458649
UD_English	03	488	0	0.99413737
UD_English	04	610	0	0.99554087
UD_English	05	732	0	0.99542859
UD_English	06	854	0	0.99560503
UD_English	07	976	0	0.99595791
UD_English	08	1098	0	0.99598999
UD_English	09	1220	0	0.99604613
UD_English	10	1342	0	0.99598999
UD_English	11	1464	0	0.99607019
UD_English	12	1586	0	0.99578949
UD_English	13	1708	0	0.99632683
UD_English	14	1830	0	0.99650327
UD_English	15	1952	0	0.99661555
UD_English	16	2074	0	0.99659149
UD_English	17	2196	0	0.99648723
UD_English	18	2318	0	0.99674387
UD_English	19	2440	0	0.99651931
UD_English	20	2562	0	0.99673585
UD_English	21	2684	0	0.99678397
UD_English	22	2806	0	0.99659951
UD_English	23	2928	0	0.99660753
UD_English	24	3050	0	0.99659149
UD_English	25	3172	0	0.99670377
UD_English	26	3294	0	0.99685615
UD_English	27	3416	0	0.99683209
UD_English	28	3538	0	0.99670377
UD_English	29	3660	0	0.99688021
UD_English	30	3782	0	0.99679199
UD_English	31	3904	0	0.99688823
UD_English	32	4026	0	0.99671179
UD_English	33	4148	0	0.99692031
UD_English	34	4270	0	0.99683209
UD_English	35	4392	0	0.99675189
UD_English	36	4514	0	0.99678397
UD_English	37	4636	0	0.99677595
UD_English	38	4758	0	0.99689625
UD_English	39	4880	0	0.99681605
UD_English	40	5002	0	0.99692031
UD_English	41	5124	0	0.99698447
UD_English	42	5246	0	0.99699249
UD_English	43	5368	0	0.99704061
UD_English	44	5490	0	0.99727319
UD_English	45	5612	0	0.99733735
UD_English	46	5734	0	0.99735339
UD_English	47	5856	0	0.99738547
UD_English	48	5978	0	0.99729725
UD_English	49	6100	0	0.99744161
UD_English	50	6222	0	0.99743359
UD_English	51	6344	0	0.99745765
UD_English	52	6466	0	0.99748171
UD_English	53	6588	0	0.99739349
UD_English	54	6710	0	0.99755389
UD_English	55	6832	0	0.99769023
UD_English	56	6954	0	0.99759399
UD_English	57	7076	0	0.99749775
UD_English	58	7198	0	0.99760201
UD_English	59	7320	0	0.99752181
UD_English	60	7442	0	0.99766617
UD_English	61	7564	0	0.99774637
UD_English	62	7686	0	0.99775439
UD_English	63	7808	0	0.99775439
UD_English	64	7930	0	0.99775439
UD_English	65	8052	0	0.99778648
UD_English	66	8174	0	0.99781054
UD_English	67	8296	0	0.99777044
UD_English	68	8418	0	0.99782658
UD_English	69	8540	0	0.99781856
UD_English	70	8662	0	0.99787470
UD_English	71	8784	0	0.99786668
UD_English	72	8906	0	0.99789074
UD_English	73	9028	0	0.99785064
UD_English	74	9150	0	0.99781856
UD_English	75	9272	0	0.99787470
UD_English	76	9394	0	0.99793084
UD_English	77	9516	0	0.99797896
UD_English	78	9638	0	0.99795490
UD_English	79	9760	0	0.99798698
UD_English	80	9882	0	0.99795490
UD_English	81	10004	0	0.99801104
UD_English	82	10126	0	0.99802708
UD_English	83	10248	0	0.99804312
UD_English	84	10370	0	0.99805114
UD_English	85	10492	0	0.99800302
UD_English	86	10614	0	0.99798698
UD_English	87	10736	0	0.99797896
UD_English	88	10858	0	0.99793084
UD_English	89	10980	0	0.99813134
UD_English	90	11102	0	0.99801906
UD_English	91	11224	0	0.99795490
UD_English	92	11346	0	0.99793084
UD_English	93	11468	0	0.99793886
UD_English	94	11590	0	0.99790678
UD_English	95	11712	0	0.99795490
UD_English	96	11834	0	0.99803510
UD_English	97	11956	0	0.99805114
UD_English	98	12078	0	0.99807520
UD_English	99	12200	0	0.99805114
