dataset	no	nbSentences	elman	perf
UD_Hindi	00	122	0	0.99845169
UD_Hindi	01	244	0	0.99830395
UD_Hindi	02	366	0	0.99832168
UD_Hindi	03	488	0	0.99854034
UD_Hindi	04	610	0	0.99815030
UD_Hindi	05	732	0	0.99843396
UD_Hindi	06	854	0	0.99846942
UD_Hindi	07	976	0	0.99861716
UD_Hindi	08	1098	0	0.99871171
UD_Hindi	09	1220	0	0.99865853
UD_Hindi	10	1342	0	0.99874126
UD_Hindi	11	1464	0	0.99884763
UD_Hindi	12	1586	0	0.99894219
UD_Hindi	13	1708	0	0.99995272
UD_Hindi	14	1830	0	0.99997636
UD_Hindi	15	1952	0	0.99991727
UD_Hindi	16	2074	0	0.99985817
UD_Hindi	17	2196	0	0.99980498
UD_Hindi	18	2318	0	0.99984635
UD_Hindi	19	2440	0	0.99982862
UD_Hindi	20	2562	0	0.99986999
UD_Hindi	21	2684	0	0.99986408
UD_Hindi	22	2806	0	0.99988772
UD_Hindi	23	2928	0	0.99989363
UD_Hindi	24	3050	0	0.99991136
UD_Hindi	25	3172	0	0.99989954
UD_Hindi	26	3294	0	0.99994681
UD_Hindi	27	3416	0	0.99992318
UD_Hindi	28	3538	0	0.99988772
UD_Hindi	29	3660	0	0.99990545
UD_Hindi	30	3782	0	0.99988181
UD_Hindi	31	3904	0	0.99989363
UD_Hindi	32	4026	0	0.99992909
UD_Hindi	33	4148	0	0.99989954
UD_Hindi	34	4270	0	0.99990545
UD_Hindi	35	4392	0	0.99994090
UD_Hindi	36	4514	0	0.99991727
UD_Hindi	37	4636	0	0.99991136
UD_Hindi	38	4758	0	0.99988772
UD_Hindi	39	4880	0	0.99990545
UD_Hindi	40	5002	0	0.99990545
UD_Hindi	41	5124	0	0.99989954
UD_Hindi	42	5246	0	0.99992909
UD_Hindi	43	5368	0	0.99995863
UD_Hindi	44	5490	0	0.99993499
UD_Hindi	45	5612	0	0.99992318
UD_Hindi	46	5734	0	0.99991136
UD_Hindi	47	5856	0	0.99994681
UD_Hindi	48	5978	0	0.99995272
UD_Hindi	49	6100	0	0.99996454
UD_Hindi	50	6222	0	0.99996454
UD_Hindi	51	6344	0	0.99991727
UD_Hindi	52	6466	0	0.99994090
UD_Hindi	53	6588	0	0.99993499
UD_Hindi	54	6710	0	0.99994090
UD_Hindi	55	6832	0	0.99993499
UD_Hindi	56	6954	0	0.99995272
UD_Hindi	57	7076	0	0.99995863
UD_Hindi	58	7198	0	0.99995863
UD_Hindi	59	7320	0	0.99994681
UD_Hindi	60	7442	0	0.99993499
UD_Hindi	61	7564	0	0.99993499
UD_Hindi	62	7686	0	0.99994090
UD_Hindi	63	7808	0	0.99994090
UD_Hindi	64	7930	0	0.99995272
UD_Hindi	65	8052	0	0.99995272
UD_Hindi	66	8174	0	0.99994681
UD_Hindi	67	8296	0	0.99994681
UD_Hindi	68	8418	0	0.99994681
UD_Hindi	69	8540	0	0.99994090
UD_Hindi	70	8662	0	0.99994681
UD_Hindi	71	8784	0	0.99994090
UD_Hindi	72	8906	0	0.99994090
UD_Hindi	73	9028	0	0.99995863
UD_Hindi	74	9150	0	0.99994681
UD_Hindi	75	9272	0	0.99995863
UD_Hindi	76	9394	0	0.99997636
UD_Hindi	77	9516	0	0.99996454
UD_Hindi	78	9638	0	0.99997045
UD_Hindi	79	9760	0	0.99997045
UD_Hindi	80	9882	0	0.99997045
UD_Hindi	81	10004	0	0.99995863
UD_Hindi	82	10126	0	0.99995863
UD_Hindi	83	10248	0	0.99995863
UD_Hindi	84	10370	0	0.99995863
UD_Hindi	85	10492	0	0.99997045
UD_Hindi	86	10614	0	0.99996454
UD_Hindi	87	10736	0	0.99997636
UD_Hindi	88	10858	0	0.99997636
UD_Hindi	89	10980	0	0.99997636
UD_Hindi	90	11102	0	0.99997636
UD_Hindi	91	11224	0	0.99996454
UD_Hindi	92	11346	0	0.99997636
UD_Hindi	93	11468	0	0.99996454
UD_Hindi	94	11590	0	0.99995272
UD_Hindi	95	11712	0	0.99995863
UD_Hindi	96	11834	0	0.99997636
UD_Hindi	97	11956	0	0.99997636
UD_Hindi	98	12078	0	0.99996454
UD_Hindi	99	12200	0	0.99995863
