dataset	no	nbSentences	elman	perf
UD_Latin-ITTB	00	122	0	0.99956398
UD_Latin-ITTB	01	244	0	0.99956398
UD_Latin-ITTB	02	366	0	0.99951367
UD_Latin-ITTB	03	488	0	0.99961429
UD_Latin-ITTB	04	610	0	0.99959752
UD_Latin-ITTB	05	732	0	0.99959752
UD_Latin-ITTB	06	854	0	0.99968137
UD_Latin-ITTB	07	976	0	0.99959752
UD_Latin-ITTB	08	1098	0	0.99958075
UD_Latin-ITTB	09	1220	0	0.99964783
UD_Latin-ITTB	10	1342	0	0.99964783
UD_Latin-ITTB	11	1464	0	0.99963106
UD_Latin-ITTB	12	1586	0	0.99978199
UD_Latin-ITTB	13	1708	0	0.99971491
UD_Latin-ITTB	14	1830	0	0.99964783
UD_Latin-ITTB	15	1952	0	0.99968137
UD_Latin-ITTB	16	2074	0	0.99968137
UD_Latin-ITTB	17	2196	0	0.99968137
UD_Latin-ITTB	18	2318	0	0.99968137
UD_Latin-ITTB	19	2440	0	0.99969814
UD_Latin-ITTB	20	2562	0	0.99978199
UD_Latin-ITTB	21	2684	0	0.99978199
UD_Latin-ITTB	22	2806	0	0.99979876
UD_Latin-ITTB	23	2928	0	0.99979876
UD_Latin-ITTB	24	3050	0	0.99979876
UD_Latin-ITTB	25	3172	0	0.99979876
UD_Latin-ITTB	26	3294	0	0.99979876
UD_Latin-ITTB	27	3416	0	0.99979876
UD_Latin-ITTB	28	3538	0	0.99979876
UD_Latin-ITTB	29	3660	0	0.99973168
UD_Latin-ITTB	30	3782	0	0.99973168
UD_Latin-ITTB	31	3904	0	0.99973168
UD_Latin-ITTB	32	4026	0	0.99973168
UD_Latin-ITTB	33	4148	0	0.99973168
UD_Latin-ITTB	34	4270	0	0.99971491
UD_Latin-ITTB	35	4392	0	0.99971491
UD_Latin-ITTB	36	4514	0	0.99971491
UD_Latin-ITTB	37	4636	0	0.99971491
UD_Latin-ITTB	38	4758	0	0.99966460
UD_Latin-ITTB	39	4880	0	0.99963106
UD_Latin-ITTB	40	5002	0	0.99966460
UD_Latin-ITTB	41	5124	0	0.99966460
UD_Latin-ITTB	42	5246	0	0.99969814
UD_Latin-ITTB	43	5368	0	0.99968137
UD_Latin-ITTB	44	5490	0	0.99968137
UD_Latin-ITTB	45	5612	0	0.99968137
UD_Latin-ITTB	46	5734	0	0.99966460
UD_Latin-ITTB	47	5856	0	0.99966460
UD_Latin-ITTB	48	5978	0	0.99966460
UD_Latin-ITTB	49	6100	0	0.99966460
UD_Latin-ITTB	50	6222	0	0.99966460
UD_Latin-ITTB	51	6344	0	0.99966460
UD_Latin-ITTB	52	6466	0	0.99966460
UD_Latin-ITTB	53	6588	0	0.99966460
UD_Latin-ITTB	54	6710	0	0.99966460
UD_Latin-ITTB	55	6832	0	0.99966460
UD_Latin-ITTB	56	6954	0	0.99966460
UD_Latin-ITTB	57	7076	0	0.99966460
UD_Latin-ITTB	58	7198	0	0.99963106
UD_Latin-ITTB	59	7320	0	0.99966460
UD_Latin-ITTB	60	7442	0	0.99963106
UD_Latin-ITTB	61	7564	0	0.99963106
UD_Latin-ITTB	62	7686	0	0.99966460
UD_Latin-ITTB	63	7808	0	0.99966460
UD_Latin-ITTB	64	7930	0	0.99961429
UD_Latin-ITTB	65	8052	0	0.99964783
UD_Latin-ITTB	66	8174	0	0.99964783
UD_Latin-ITTB	67	8296	0	0.99966460
UD_Latin-ITTB	68	8418	0	0.99964783
UD_Latin-ITTB	69	8540	0	0.99964783
UD_Latin-ITTB	70	8662	0	0.99964783
UD_Latin-ITTB	71	8784	0	0.99966460
UD_Latin-ITTB	72	8906	0	0.99964783
UD_Latin-ITTB	73	9028	0	0.99964783
UD_Latin-ITTB	74	9150	0	0.99964783
UD_Latin-ITTB	75	9272	0	0.99964783
UD_Latin-ITTB	76	9394	0	0.99966460
UD_Latin-ITTB	77	9516	0	0.99966460
UD_Latin-ITTB	78	9638	0	0.99966460
UD_Latin-ITTB	79	9760	0	0.99964783
UD_Latin-ITTB	80	9882	0	0.99966460
UD_Latin-ITTB	81	10004	0	0.99964783
UD_Latin-ITTB	82	10126	0	0.99966460
UD_Latin-ITTB	83	10248	0	0.99966460
UD_Latin-ITTB	84	10370	0	0.99964783
UD_Latin-ITTB	85	10492	0	0.99964783
UD_Latin-ITTB	86	10614	0	0.99966460
UD_Latin-ITTB	87	10736	0	0.99966460
UD_Latin-ITTB	88	10858	0	0.99966460
UD_Latin-ITTB	89	10980	0	0.99966460
UD_Latin-ITTB	90	11102	0	0.99964783
UD_Latin-ITTB	91	11224	0	0.99964783
UD_Latin-ITTB	92	11346	0	0.99964783
UD_Latin-ITTB	93	11468	0	0.99964783
UD_Latin-ITTB	94	11590	0	0.99964783
UD_Latin-ITTB	95	11712	0	0.99964783
UD_Latin-ITTB	96	11834	0	0.99964783
UD_Latin-ITTB	97	11956	0	0.99964783
UD_Latin-ITTB	98	12078	0	0.99966460
UD_Latin-ITTB	99	12200	0	0.99966460
