dataset	no	nbSentences	elman	perf
UD_Latin-PROIEL	00	122	0	1.00000000
UD_Latin-PROIEL	01	244	0	1.00000000
UD_Latin-PROIEL	02	366	0	1.00000000
UD_Latin-PROIEL	03	488	0	1.00000000
UD_Latin-PROIEL	04	610	0	1.00000000
UD_Latin-PROIEL	05	732	0	1.00000000
UD_Latin-PROIEL	06	854	0	1.00000000
UD_Latin-PROIEL	07	976	0	1.00000000
UD_Latin-PROIEL	08	1098	0	1.00000000
UD_Latin-PROIEL	09	1220	0	1.00000000
UD_Latin-PROIEL	10	1342	0	1.00000000
UD_Latin-PROIEL	11	1464	0	1.00000000
UD_Latin-PROIEL	12	1586	0	1.00000000
UD_Latin-PROIEL	13	1708	0	1.00000000
UD_Latin-PROIEL	14	1830	0	1.00000000
UD_Latin-PROIEL	15	1952	0	1.00000000
UD_Latin-PROIEL	16	2074	0	1.00000000
UD_Latin-PROIEL	17	2196	0	1.00000000
UD_Latin-PROIEL	18	2318	0	1.00000000
UD_Latin-PROIEL	19	2440	0	1.00000000
UD_Latin-PROIEL	20	2562	0	1.00000000
UD_Latin-PROIEL	21	2684	0	1.00000000
UD_Latin-PROIEL	22	2806	0	1.00000000
UD_Latin-PROIEL	23	2928	0	1.00000000
UD_Latin-PROIEL	24	3050	0	1.00000000
UD_Latin-PROIEL	25	3172	0	1.00000000
UD_Latin-PROIEL	26	3294	0	1.00000000
UD_Latin-PROIEL	27	3416	0	1.00000000
UD_Latin-PROIEL	28	3538	0	1.00000000
UD_Latin-PROIEL	29	3660	0	1.00000000
UD_Latin-PROIEL	30	3782	0	1.00000000
UD_Latin-PROIEL	31	3904	0	1.00000000
UD_Latin-PROIEL	32	4026	0	1.00000000
UD_Latin-PROIEL	33	4148	0	1.00000000
UD_Latin-PROIEL	34	4270	0	1.00000000
UD_Latin-PROIEL	35	4392	0	1.00000000
UD_Latin-PROIEL	36	4514	0	1.00000000
UD_Latin-PROIEL	37	4636	0	1.00000000
UD_Latin-PROIEL	38	4758	0	1.00000000
UD_Latin-PROIEL	39	4880	0	1.00000000
UD_Latin-PROIEL	40	5002	0	1.00000000
UD_Latin-PROIEL	41	5124	0	1.00000000
UD_Latin-PROIEL	42	5246	0	1.00000000
UD_Latin-PROIEL	43	5368	0	1.00000000
UD_Latin-PROIEL	44	5490	0	1.00000000
UD_Latin-PROIEL	45	5612	0	1.00000000
UD_Latin-PROIEL	46	5734	0	1.00000000
UD_Latin-PROIEL	47	5856	0	1.00000000
UD_Latin-PROIEL	48	5978	0	1.00000000
UD_Latin-PROIEL	49	6100	0	1.00000000
UD_Latin-PROIEL	50	6222	0	1.00000000
UD_Latin-PROIEL	51	6344	0	1.00000000
UD_Latin-PROIEL	52	6466	0	1.00000000
UD_Latin-PROIEL	53	6588	0	1.00000000
UD_Latin-PROIEL	54	6710	0	1.00000000
UD_Latin-PROIEL	55	6832	0	1.00000000
UD_Latin-PROIEL	56	6954	0	1.00000000
UD_Latin-PROIEL	57	7076	0	1.00000000
UD_Latin-PROIEL	58	7198	0	1.00000000
UD_Latin-PROIEL	59	7320	0	1.00000000
UD_Latin-PROIEL	60	7442	0	1.00000000
UD_Latin-PROIEL	61	7564	0	1.00000000
UD_Latin-PROIEL	62	7686	0	1.00000000
UD_Latin-PROIEL	63	7808	0	1.00000000
UD_Latin-PROIEL	64	7930	0	1.00000000
UD_Latin-PROIEL	65	8052	0	1.00000000
UD_Latin-PROIEL	66	8174	0	1.00000000
UD_Latin-PROIEL	67	8296	0	1.00000000
UD_Latin-PROIEL	68	8418	0	1.00000000
UD_Latin-PROIEL	69	8540	0	1.00000000
UD_Latin-PROIEL	70	8662	0	1.00000000
UD_Latin-PROIEL	71	8784	0	1.00000000
UD_Latin-PROIEL	72	8906	0	1.00000000
UD_Latin-PROIEL	73	9028	0	1.00000000
UD_Latin-PROIEL	74	9150	0	1.00000000
UD_Latin-PROIEL	75	9272	0	1.00000000
UD_Latin-PROIEL	76	9394	0	1.00000000
UD_Latin-PROIEL	77	9516	0	1.00000000
UD_Latin-PROIEL	78	9638	0	1.00000000
UD_Latin-PROIEL	79	9760	0	1.00000000
UD_Latin-PROIEL	80	9882	0	1.00000000
UD_Latin-PROIEL	81	10004	0	1.00000000
UD_Latin-PROIEL	82	10126	0	1.00000000
UD_Latin-PROIEL	83	10248	0	1.00000000
UD_Latin-PROIEL	84	10370	0	1.00000000
UD_Latin-PROIEL	85	10492	0	1.00000000
UD_Latin-PROIEL	86	10614	0	1.00000000
UD_Latin-PROIEL	87	10736	0	1.00000000
UD_Latin-PROIEL	88	10858	0	1.00000000
UD_Latin-PROIEL	89	10980	0	1.00000000
UD_Latin-PROIEL	90	11102	0	1.00000000
UD_Latin-PROIEL	91	11224	0	1.00000000
UD_Latin-PROIEL	92	11346	0	1.00000000
UD_Latin-PROIEL	93	11468	0	1.00000000
UD_Latin-PROIEL	94	11590	0	1.00000000
UD_Latin-PROIEL	95	11712	0	1.00000000
UD_Latin-PROIEL	96	11834	0	1.00000000
UD_Latin-PROIEL	97	11956	0	1.00000000
UD_Latin-PROIEL	98	12078	0	1.00000000
UD_Latin-PROIEL	99	12200	0	1.00000000
