dataset	no	nbSentences	elman	perf
UD_Norwegian-Nynorsk	00	122	0	0.99875190
UD_Norwegian-Nynorsk	01	244	0	0.99886268
UD_Norwegian-Nynorsk	02	366	0	0.99940180
UD_Norwegian-Nynorsk	03	488	0	0.99959381
UD_Norwegian-Nynorsk	04	610	0	0.99963074
UD_Norwegian-Nynorsk	05	732	0	0.99963813
UD_Norwegian-Nynorsk	06	854	0	0.99972675
UD_Norwegian-Nynorsk	07	976	0	0.99974890
UD_Norwegian-Nynorsk	08	1098	0	0.99978583
UD_Norwegian-Nynorsk	09	1220	0	0.99974152
UD_Norwegian-Nynorsk	10	1342	0	0.99980798
UD_Norwegian-Nynorsk	11	1464	0	0.99979321
UD_Norwegian-Nynorsk	12	1586	0	0.99970459
UD_Norwegian-Nynorsk	13	1708	0	0.99977844
UD_Norwegian-Nynorsk	14	1830	0	0.99978583
UD_Norwegian-Nynorsk	15	1952	0	0.99985230
UD_Norwegian-Nynorsk	16	2074	0	0.99988184
UD_Norwegian-Nynorsk	17	2196	0	0.99988184
UD_Norwegian-Nynorsk	18	2318	0	0.99968244
UD_Norwegian-Nynorsk	19	2440	0	0.99968982
UD_Norwegian-Nynorsk	20	2562	0	0.99986707
UD_Norwegian-Nynorsk	21	2684	0	0.99988184
UD_Norwegian-Nynorsk	22	2806	0	0.99969721
UD_Norwegian-Nynorsk	23	2928	0	0.99988184
UD_Norwegian-Nynorsk	24	3050	0	0.99986707
UD_Norwegian-Nynorsk	25	3172	0	0.99983753
UD_Norwegian-Nynorsk	26	3294	0	0.99982276
UD_Norwegian-Nynorsk	27	3416	0	0.99979321
UD_Norwegian-Nynorsk	28	3538	0	0.99978583
UD_Norwegian-Nynorsk	29	3660	0	0.99977844
UD_Norwegian-Nynorsk	30	3782	0	0.99978583
UD_Norwegian-Nynorsk	31	3904	0	0.99978583
UD_Norwegian-Nynorsk	32	4026	0	0.99978583
UD_Norwegian-Nynorsk	33	4148	0	0.99978583
UD_Norwegian-Nynorsk	34	4270	0	0.99979321
UD_Norwegian-Nynorsk	35	4392	0	0.99988922
UD_Norwegian-Nynorsk	36	4514	0	0.99980060
UD_Norwegian-Nynorsk	37	4636	0	0.99978583
UD_Norwegian-Nynorsk	38	4758	0	0.99987445
UD_Norwegian-Nynorsk	39	4880	0	0.99979321
UD_Norwegian-Nynorsk	40	5002	0	0.99978583
UD_Norwegian-Nynorsk	41	5124	0	0.99979321
UD_Norwegian-Nynorsk	42	5246	0	0.99987445
UD_Norwegian-Nynorsk	43	5368	0	0.99987445
UD_Norwegian-Nynorsk	44	5490	0	0.99988184
UD_Norwegian-Nynorsk	45	5612	0	0.99988922
UD_Norwegian-Nynorsk	46	5734	0	0.99985968
UD_Norwegian-Nynorsk	47	5856	0	0.99985230
UD_Norwegian-Nynorsk	48	5978	0	0.99987445
UD_Norwegian-Nynorsk	49	6100	0	0.99987445
UD_Norwegian-Nynorsk	50	6222	0	0.99987445
UD_Norwegian-Nynorsk	51	6344	0	0.99985968
UD_Norwegian-Nynorsk	52	6466	0	0.99988184
UD_Norwegian-Nynorsk	53	6588	0	0.99988922
UD_Norwegian-Nynorsk	54	6710	0	0.99987445
UD_Norwegian-Nynorsk	55	6832	0	0.99988184
UD_Norwegian-Nynorsk	56	6954	0	0.99988184
UD_Norwegian-Nynorsk	57	7076	0	0.99988184
UD_Norwegian-Nynorsk	58	7198	0	0.99987445
UD_Norwegian-Nynorsk	59	7320	0	0.99986707
UD_Norwegian-Nynorsk	60	7442	0	0.99986707
UD_Norwegian-Nynorsk	61	7564	0	0.99988184
UD_Norwegian-Nynorsk	62	7686	0	0.99985968
UD_Norwegian-Nynorsk	63	7808	0	0.99988184
UD_Norwegian-Nynorsk	64	7930	0	0.99985968
UD_Norwegian-Nynorsk	65	8052	0	0.99986707
UD_Norwegian-Nynorsk	66	8174	0	0.99985968
UD_Norwegian-Nynorsk	67	8296	0	0.99986707
UD_Norwegian-Nynorsk	68	8418	0	0.99986707
UD_Norwegian-Nynorsk	69	8540	0	0.99987445
UD_Norwegian-Nynorsk	70	8662	0	0.99987445
UD_Norwegian-Nynorsk	71	8784	0	0.99987445
UD_Norwegian-Nynorsk	72	8906	0	0.99986707
UD_Norwegian-Nynorsk	73	9028	0	0.99986707
UD_Norwegian-Nynorsk	74	9150	0	0.99986707
UD_Norwegian-Nynorsk	75	9272	0	0.99986707
UD_Norwegian-Nynorsk	76	9394	0	0.99986707
UD_Norwegian-Nynorsk	77	9516	0	0.99986707
UD_Norwegian-Nynorsk	78	9638	0	0.99984491
UD_Norwegian-Nynorsk	79	9760	0	0.99984491
UD_Norwegian-Nynorsk	80	9882	0	0.99986707
UD_Norwegian-Nynorsk	81	10004	0	0.99988184
UD_Norwegian-Nynorsk	82	10126	0	0.99988184
UD_Norwegian-Nynorsk	83	10248	0	0.99986707
UD_Norwegian-Nynorsk	84	10370	0	0.99984491
UD_Norwegian-Nynorsk	85	10492	0	0.99989661
UD_Norwegian-Nynorsk	86	10614	0	0.99986707
UD_Norwegian-Nynorsk	87	10736	0	0.99986707
UD_Norwegian-Nynorsk	88	10858	0	0.99985968
UD_Norwegian-Nynorsk	89	10980	0	0.99984491
UD_Norwegian-Nynorsk	90	11102	0	0.99985968
UD_Norwegian-Nynorsk	91	11224	0	0.99985968
UD_Norwegian-Nynorsk	92	11346	0	0.99985968
UD_Norwegian-Nynorsk	93	11468	0	0.99985968
UD_Norwegian-Nynorsk	94	11590	0	0.99985968
UD_Norwegian-Nynorsk	95	11712	0	0.99985968
UD_Norwegian-Nynorsk	96	11834	0	0.99985968
UD_Norwegian-Nynorsk	97	11956	0	0.99985968
UD_Norwegian-Nynorsk	98	12078	0	0.99985968
UD_Norwegian-Nynorsk	99	12200	0	0.99985968
