dataset	no	nbSentences	elman	perf
UD_Spanish-AnCora	00	122	1	0.99961245
UD_Spanish-AnCora	01	244	1	0.99955863
UD_Spanish-AnCora	02	366	1	0.99957657
UD_Spanish-AnCora	03	488	1	0.99960887
UD_Spanish-AnCora	04	610	1	0.99967705
UD_Spanish-AnCora	05	732	1	0.99966628
UD_Spanish-AnCora	06	854	1	0.99982776
UD_Spanish-AnCora	07	976	1	0.99975958
UD_Spanish-AnCora	08	1098	1	0.99987082
UD_Spanish-AnCora	09	1220	1	0.99984570
UD_Spanish-AnCora	10	1342	1	0.99986005
UD_Spanish-AnCora	11	1464	1	0.99987441
UD_Spanish-AnCora	12	1586	1	0.99985646
UD_Spanish-AnCora	13	1708	1	0.99986364
UD_Spanish-AnCora	14	1830	1	0.99987082
UD_Spanish-AnCora	15	1952	1	0.99985646
UD_Spanish-AnCora	16	2074	1	0.99986364
UD_Spanish-AnCora	17	2196	1	0.99980623
UD_Spanish-AnCora	18	2318	1	0.99985288
UD_Spanish-AnCora	19	2440	1	0.99981340
UD_Spanish-AnCora	20	2562	1	0.99984929
UD_Spanish-AnCora	21	2684	1	0.99988158
UD_Spanish-AnCora	22	2806	1	0.99985288
UD_Spanish-AnCora	23	2928	1	0.99983135
UD_Spanish-AnCora	24	3050	1	0.99983493
UD_Spanish-AnCora	25	3172	1	0.99988517
UD_Spanish-AnCora	26	3294	1	0.99973087
UD_Spanish-AnCora	27	3416	1	0.99987441
UD_Spanish-AnCora	28	3538	1	0.99983493
UD_Spanish-AnCora	29	3660	1	0.99985646
UD_Spanish-AnCora	30	3782	1	0.99985646
UD_Spanish-AnCora	31	3904	1	0.99986005
UD_Spanish-AnCora	32	4026	1	0.99983493
UD_Spanish-AnCora	33	4148	1	0.99985646
UD_Spanish-AnCora	34	4270	1	0.99984929
UD_Spanish-AnCora	35	4392	1	0.99990670
UD_Spanish-AnCora	36	4514	1	0.99989235
UD_Spanish-AnCora	37	4636	1	0.99983493
UD_Spanish-AnCora	38	4758	1	0.99983135
UD_Spanish-AnCora	39	4880	1	0.99985646
UD_Spanish-AnCora	40	5002	1	0.99984929
UD_Spanish-AnCora	41	5124	1	0.99982417
UD_Spanish-AnCora	42	5246	1	0.99979546
UD_Spanish-AnCora	43	5368	1	0.99988876
UD_Spanish-AnCora	44	5490	1	0.99980623
UD_Spanish-AnCora	45	5612	1	0.99982776
UD_Spanish-AnCora	46	5734	1	0.99988158
UD_Spanish-AnCora	47	5856	1	0.99983852
UD_Spanish-AnCora	48	5978	1	0.99982776
UD_Spanish-AnCora	49	6100	1	0.99978111
UD_Spanish-AnCora	50	6222	1	0.99972011
UD_Spanish-AnCora	51	6344	1	0.99978829
UD_Spanish-AnCora	52	6466	1	0.99983493
UD_Spanish-AnCora	53	6588	1	0.99980264
UD_Spanish-AnCora	54	6710	1	0.99980623
UD_Spanish-AnCora	55	6832	1	0.99970934
UD_Spanish-AnCora	56	6954	1	0.99963398
UD_Spanish-AnCora	57	7076	1	0.99977034
UD_Spanish-AnCora	58	7198	1	0.99982058
UD_Spanish-AnCora	59	7320	1	0.99962681
UD_Spanish-AnCora	60	7442	1	0.99971652
UD_Spanish-AnCora	61	7564	1	0.99969858
UD_Spanish-AnCora	62	7686	1	0.99971652
UD_Spanish-AnCora	63	7808	1	0.99973805
UD_Spanish-AnCora	64	7930	1	0.99975958
UD_Spanish-AnCora	65	8052	1	0.99978111
UD_Spanish-AnCora	66	8174	1	0.99976317
UD_Spanish-AnCora	67	8296	1	0.99985288
UD_Spanish-AnCora	68	8418	1	0.99975958
UD_Spanish-AnCora	69	8540	1	0.99975958
UD_Spanish-AnCora	70	8662	1	0.99979546
UD_Spanish-AnCora	71	8784	1	0.99970575
UD_Spanish-AnCora	72	8906	1	0.99966987
UD_Spanish-AnCora	73	9028	1	0.99975958
UD_Spanish-AnCora	74	9150	1	0.99985288
UD_Spanish-AnCora	75	9272	1	0.99987082
UD_Spanish-AnCora	76	9394	1	0.99989235
UD_Spanish-AnCora	77	9516	1	0.99988517
UD_Spanish-AnCora	78	9638	1	0.99989594
UD_Spanish-AnCora	79	9760	1	0.99984929
UD_Spanish-AnCora	80	9882	1	0.99981340
UD_Spanish-AnCora	81	10004	1	0.99986005
UD_Spanish-AnCora	82	10126	1	0.99985646
UD_Spanish-AnCora	83	10248	1	0.99977393
UD_Spanish-AnCora	84	10370	1	0.99986005
UD_Spanish-AnCora	85	10492	1	0.99984929
UD_Spanish-AnCora	86	10614	1	0.99989594
UD_Spanish-AnCora	87	10736	1	0.99988517
UD_Spanish-AnCora	88	10858	1	0.99988876
UD_Spanish-AnCora	89	10980	1	0.99982417
UD_Spanish-AnCora	90	11102	1	0.99987799
UD_Spanish-AnCora	91	11224	1	0.99983493
UD_Spanish-AnCora	92	11346	1	0.99983135
UD_Spanish-AnCora	93	11468	1	0.99988517
UD_Spanish-AnCora	94	11590	1	0.99983493
UD_Spanish-AnCora	95	11712	1	0.99988158
UD_Spanish-AnCora	96	11834	1	0.99986364
UD_Spanish-AnCora	97	11956	1	0.99982776
UD_Spanish-AnCora	98	12078	1	0.99980982
UD_Spanish-AnCora	99	12200	1	0.99991747
