dataset	no	nbSentences	elman	perf
UD_Czech-CAC	10000	10000	1	0.99944568
UD_Czech-CAC	1000	1000	1	0.99870658
UD_Czech-CAC	100	100	1	0.99815225
UD_Czech-CAC	10	10	1	0.99676644
UD_Czech	10000	10000	1	0.99719444
UD_Czech	1000	1000	1	0.99622085
UD_Czech	100	100	1	0.95752489
UD_Czech	10	10	1	0.95497281
UD_French	10000	10000	0	0.99404640
UD_French	1000	1000	0	0.99404640
UD_French	100	100	0	0.98408951
UD_French	10	10	0	0.95483474
UD_German	10000	10000	0	0.99568723
UD_German	1000	1000	0	0.97118570
UD_German	100	100	0	0.96724795
UD_German	10	10	0	0.94749672
UD_Latin-ITTB	10000	10000	0	0.99753811
UD_Latin-ITTB	1000	1000	0	0.99715936
UD_Latin-ITTB	100	100	0	0.99706467
UD_Latin-ITTB	10	10	0	0.98797462
UD_Norwegian-Bokmaal	10000	10000	0	0.99883201
UD_Norwegian-Bokmaal	1000	1000	0	0.99789762
UD_Norwegian-Bokmaal	100	100	0	0.98184609
UD_Norwegian-Bokmaal	10	10	0	0.98001068
UD_Norwegian-Nynorsk	10000	10000	0	0.99923304
UD_Norwegian-Nynorsk	1000	1000	0	0.99874864
UD_Norwegian-Nynorsk	100	100	0	0.98893957
UD_Norwegian-Nynorsk	10	10	0	0.97618375
UD_Russian-SynTagRus	10000	10000	0	0.99489231
UD_Russian-SynTagRus	1000	1000	0	0.98428535
UD_Russian-SynTagRus	100	100	0	0.96776198
UD_Russian-SynTagRus	10	10	0	0.95525666
UD_Spanish-AnCora	10000	10000	1	0.99858868
UD_Spanish-AnCora	1000	1000	1	0.99921805
UD_Spanish-AnCora	100	100	1	0.99757786
UD_Spanish-AnCora	10	10	1	0.98897641
UD_Spanish	10000	10000	0	0.99931816
UD_Spanish	1000	1000	0	0.99880678
UD_Spanish	100	100	0	0.99821018
UD_Spanish	10	10	0	0.96633427
