dataset	no	nbSentences	elman	perf
UD_Arabic-NYUAD	00	122	0	1.00000000
UD_Arabic-NYUAD	01	244	0	1.00000000
UD_Arabic-NYUAD	02	366	0	1.00000000
UD_Arabic-NYUAD	03	488	0	1.00000000
UD_Arabic-NYUAD	04	610	0	1.00000000
UD_Arabic-NYUAD	05	732	0	1.00000000
UD_Arabic-NYUAD	06	854	0	1.00000000
UD_Arabic-NYUAD	07	976	0	1.00000000
UD_Arabic-NYUAD	08	1098	0	1.00000000
UD_Arabic-NYUAD	09	1220	0	1.00000000
UD_Arabic-NYUAD	10	1342	0	1.00000000
UD_Arabic-NYUAD	11	1464	0	1.00000000
UD_Arabic-NYUAD	12	1586	0	1.00000000
UD_Arabic-NYUAD	13	1708	0	1.00000000
UD_Arabic-NYUAD	14	1830	0	1.00000000
UD_Arabic-NYUAD	15	1952	0	1.00000000
UD_Arabic-NYUAD	16	2074	0	1.00000000
UD_Arabic-NYUAD	17	2196	0	1.00000000
UD_Arabic-NYUAD	18	2318	0	1.00000000
UD_Arabic-NYUAD	19	2440	0	1.00000000
UD_Arabic-NYUAD	20	2562	0	1.00000000
UD_Arabic-NYUAD	21	2684	0	1.00000000
UD_Arabic-NYUAD	22	2806	0	1.00000000
UD_Arabic-NYUAD	23	2928	0	1.00000000
UD_Arabic-NYUAD	24	3050	0	1.00000000
UD_Arabic-NYUAD	25	3172	0	1.00000000
UD_Arabic-NYUAD	26	3294	0	1.00000000
UD_Arabic-NYUAD	27	3416	0	1.00000000
UD_Arabic-NYUAD	28	3538	0	1.00000000
UD_Arabic-NYUAD	29	3660	0	1.00000000
UD_Arabic-NYUAD	30	3782	0	1.00000000
UD_Arabic-NYUAD	31	3904	0	1.00000000
UD_Arabic-NYUAD	32	4026	0	1.00000000
UD_Arabic-NYUAD	33	4148	0	1.00000000
UD_Arabic-NYUAD	34	4270	0	1.00000000
UD_Arabic-NYUAD	35	4392	0	1.00000000
UD_Arabic-NYUAD	36	4514	0	1.00000000
UD_Arabic-NYUAD	37	4636	0	1.00000000
UD_Arabic-NYUAD	38	4758	0	1.00000000
UD_Arabic-NYUAD	39	4880	0	1.00000000
UD_Arabic-NYUAD	40	5002	0	1.00000000
UD_Arabic-NYUAD	41	5124	0	1.00000000
UD_Arabic-NYUAD	42	5246	0	1.00000000
UD_Arabic-NYUAD	43	5368	0	1.00000000
UD_Arabic-NYUAD	44	5490	0	1.00000000
UD_Arabic-NYUAD	45	5612	0	1.00000000
UD_Arabic-NYUAD	46	5734	0	1.00000000
UD_Arabic-NYUAD	47	5856	0	1.00000000
UD_Arabic-NYUAD	48	5978	0	1.00000000
UD_Arabic-NYUAD	49	6100	0	1.00000000
UD_Arabic-NYUAD	50	6222	0	1.00000000
UD_Arabic-NYUAD	51	6344	0	1.00000000
UD_Arabic-NYUAD	52	6466	0	1.00000000
UD_Arabic-NYUAD	53	6588	0	1.00000000
UD_Arabic-NYUAD	54	6710	0	1.00000000
UD_Arabic-NYUAD	55	6832	0	1.00000000
UD_Arabic-NYUAD	56	6954	0	1.00000000
UD_Arabic-NYUAD	57	7076	0	1.00000000
UD_Arabic-NYUAD	58	7198	0	1.00000000
UD_Arabic-NYUAD	59	7320	0	1.00000000
UD_Arabic-NYUAD	60	7442	0	1.00000000
UD_Arabic-NYUAD	61	7564	0	1.00000000
UD_Arabic-NYUAD	62	7686	0	1.00000000
UD_Arabic-NYUAD	63	7808	0	1.00000000
UD_Arabic-NYUAD	64	7930	0	1.00000000
UD_Arabic-NYUAD	65	8052	0	1.00000000
UD_Arabic-NYUAD	66	8174	0	1.00000000
UD_Arabic-NYUAD	67	8296	0	1.00000000
UD_Arabic-NYUAD	68	8418	0	1.00000000
UD_Arabic-NYUAD	69	8540	0	1.00000000
UD_Arabic-NYUAD	70	8662	0	1.00000000
UD_Arabic-NYUAD	71	8784	0	1.00000000
UD_Arabic-NYUAD	72	8906	0	1.00000000
UD_Arabic-NYUAD	73	9028	0	1.00000000
UD_Arabic-NYUAD	74	9150	0	1.00000000
UD_Arabic-NYUAD	75	9272	0	1.00000000
UD_Arabic-NYUAD	76	9394	0	1.00000000
UD_Arabic-NYUAD	77	9516	0	1.00000000
UD_Arabic-NYUAD	78	9638	0	1.00000000
UD_Arabic-NYUAD	79	9760	0	1.00000000
UD_Arabic-NYUAD	80	9882	0	1.00000000
UD_Arabic-NYUAD	81	10004	0	1.00000000
UD_Arabic-NYUAD	82	10126	0	1.00000000
UD_Arabic-NYUAD	83	10248	0	1.00000000
UD_Arabic-NYUAD	84	10370	0	1.00000000
UD_Arabic-NYUAD	85	10492	0	1.00000000
UD_Arabic-NYUAD	86	10614	0	1.00000000
UD_Arabic-NYUAD	87	10736	0	1.00000000
UD_Arabic-NYUAD	88	10858	0	1.00000000
UD_Arabic-NYUAD	89	10980	0	1.00000000
UD_Arabic-NYUAD	90	11102	0	1.00000000
UD_Arabic-NYUAD	91	11224	0	1.00000000
UD_Arabic-NYUAD	92	11346	0	1.00000000
UD_Arabic-NYUAD	93	11468	0	1.00000000
UD_Arabic-NYUAD	94	11590	0	1.00000000
UD_Arabic-NYUAD	95	11712	0	1.00000000
UD_Arabic-NYUAD	96	11834	0	1.00000000
UD_Arabic-NYUAD	97	11956	0	1.00000000
UD_Arabic-NYUAD	98	12078	0	1.00000000
UD_Arabic-NYUAD	99	12200	0	1.00000000
