dataset	no	nbSentences	elman	perf
UD_Catalan	00	122	0	0.99858014
UD_Catalan	01	244	0	0.99914942
UD_Catalan	02	366	0	0.99922310
UD_Catalan	03	488	0	0.99953788
UD_Catalan	04	610	0	0.99963499
UD_Catalan	05	732	0	0.99966848
UD_Catalan	06	854	0	0.99965508
UD_Catalan	07	976	0	0.99966178
UD_Catalan	08	1098	0	0.99966513
UD_Catalan	09	1220	0	0.99966513
UD_Catalan	10	1342	0	0.99964504
UD_Catalan	11	1464	0	0.99965843
UD_Catalan	12	1586	0	0.99968187
UD_Catalan	13	1708	0	0.99967852
UD_Catalan	14	1830	0	0.99967852
UD_Catalan	15	1952	0	0.99966178
UD_Catalan	16	2074	0	0.99965843
UD_Catalan	17	2196	0	0.99966178
UD_Catalan	18	2318	0	0.99964838
UD_Catalan	19	2440	0	0.99965173
UD_Catalan	20	2562	0	0.99965508
UD_Catalan	21	2684	0	0.99968187
UD_Catalan	22	2806	0	0.99967852
UD_Catalan	23	2928	0	0.99966178
UD_Catalan	24	3050	0	0.99979908
UD_Catalan	25	3172	0	0.99971871
UD_Catalan	26	3294	0	0.99972206
UD_Catalan	27	3416	0	0.99966848
UD_Catalan	28	3538	0	0.99973210
UD_Catalan	29	3660	0	0.99966513
UD_Catalan	30	3782	0	0.99966848
UD_Catalan	31	3904	0	0.99966848
UD_Catalan	32	4026	0	0.99977564
UD_Catalan	33	4148	0	0.99977898
UD_Catalan	34	4270	0	0.99977898
UD_Catalan	35	4392	0	0.99979908
UD_Catalan	36	4514	0	0.99979908
UD_Catalan	37	4636	0	0.99978233
UD_Catalan	38	4758	0	0.99979573
UD_Catalan	39	4880	0	0.99990289
UD_Catalan	40	5002	0	0.99979908
UD_Catalan	41	5124	0	0.99990289
UD_Catalan	42	5246	0	0.99989619
UD_Catalan	43	5368	0	0.99989954
UD_Catalan	44	5490	0	0.99980577
UD_Catalan	45	5612	0	0.99990624
UD_Catalan	46	5734	0	0.99990289
UD_Catalan	47	5856	0	0.99990289
UD_Catalan	48	5978	0	0.99989954
UD_Catalan	49	6100	0	0.99989954
UD_Catalan	50	6222	0	0.99989954
UD_Catalan	51	6344	0	0.99989954
UD_Catalan	52	6466	0	0.99989954
UD_Catalan	53	6588	0	0.99989954
UD_Catalan	54	6710	0	0.99981917
UD_Catalan	55	6832	0	0.99989619
UD_Catalan	56	6954	0	0.99989954
UD_Catalan	57	7076	0	0.99983926
UD_Catalan	58	7198	0	0.99989954
UD_Catalan	59	7320	0	0.99989954
UD_Catalan	60	7442	0	0.99989954
UD_Catalan	61	7564	0	0.99989619
UD_Catalan	62	7686	0	0.99989619
UD_Catalan	63	7808	0	0.99989284
UD_Catalan	64	7930	0	0.99989954
UD_Catalan	65	8052	0	0.99989954
UD_Catalan	66	8174	0	0.99989954
UD_Catalan	67	8296	0	0.99989954
UD_Catalan	68	8418	0	0.99989619
UD_Catalan	69	8540	0	0.99989619
UD_Catalan	70	8662	0	0.99989954
UD_Catalan	71	8784	0	0.99989954
UD_Catalan	72	8906	0	0.99989954
UD_Catalan	73	9028	0	0.99985935
UD_Catalan	74	9150	0	0.99989954
UD_Catalan	75	9272	0	0.99986270
UD_Catalan	76	9394	0	0.99986270
UD_Catalan	77	9516	0	0.99986605
UD_Catalan	78	9638	0	0.99989954
UD_Catalan	79	9760	0	0.99986605
UD_Catalan	80	9882	0	0.99989954
UD_Catalan	81	10004	0	0.99989954
UD_Catalan	82	10126	0	0.99990289
UD_Catalan	83	10248	0	0.99990289
UD_Catalan	84	10370	0	0.99990289
UD_Catalan	85	10492	0	0.99990289
UD_Catalan	86	10614	0	0.99989619
UD_Catalan	87	10736	0	0.99989619
UD_Catalan	88	10858	0	0.99989284
UD_Catalan	89	10980	0	0.99985935
UD_Catalan	90	11102	0	0.99985935
UD_Catalan	91	11224	0	0.99989284
UD_Catalan	92	11346	0	0.99984931
UD_Catalan	93	11468	0	0.99989284
UD_Catalan	94	11590	0	0.99984596
UD_Catalan	95	11712	0	0.99984596
UD_Catalan	96	11834	0	0.99984596
UD_Catalan	97	11956	0	0.99984596
UD_Catalan	98	12078	0	0.99984596
UD_Catalan	99	12200	0	0.99984596
