dataset	no	nbSentences	elman	perf
UD_Czech-CAC	00	122	1	0.99984667
UD_Czech-CAC	01	244	1	0.99978534
UD_Czech-CAC	02	366	1	0.99984667
UD_Czech-CAC	03	488	1	0.99983133
UD_Czech-CAC	04	610	1	0.99984667
UD_Czech-CAC	05	732	1	0.99983133
UD_Czech-CAC	06	854	1	0.99981600
UD_Czech-CAC	07	976	1	0.99984667
UD_Czech-CAC	08	1098	1	0.99983133
UD_Czech-CAC	09	1220	1	0.99984667
UD_Czech-CAC	10	1342	1	0.99984667
UD_Czech-CAC	11	1464	1	0.99983133
UD_Czech-CAC	12	1586	1	0.99993867
UD_Czech-CAC	13	1708	1	0.99995400
UD_Czech-CAC	14	1830	1	0.99996933
UD_Czech-CAC	15	1952	1	0.99996933
UD_Czech-CAC	16	2074	1	0.99983133
UD_Czech-CAC	17	2196	1	0.99989267
UD_Czech-CAC	18	2318	1	0.99996933
UD_Czech-CAC	19	2440	1	0.99993867
UD_Czech-CAC	20	2562	1	0.99993867
UD_Czech-CAC	21	2684	1	0.99998467
UD_Czech-CAC	22	2806	1	0.99998467
UD_Czech-CAC	23	2928	1	0.99998467
UD_Czech-CAC	24	3050	1	0.99995400
UD_Czech-CAC	25	3172	1	0.99995400
UD_Czech-CAC	26	3294	1	0.99996933
UD_Czech-CAC	27	3416	1	0.99998467
UD_Czech-CAC	28	3538	1	0.99996933
UD_Czech-CAC	29	3660	1	0.99996933
UD_Czech-CAC	30	3782	1	0.99993867
UD_Czech-CAC	31	3904	1	0.99996933
UD_Czech-CAC	32	4026	1	0.99993867
UD_Czech-CAC	33	4148	1	0.99996933
UD_Czech-CAC	34	4270	1	0.99996933
UD_Czech-CAC	35	4392	1	0.99996933
UD_Czech-CAC	36	4514	1	0.99996933
UD_Czech-CAC	37	4636	1	0.99996933
UD_Czech-CAC	38	4758	1	0.99996933
UD_Czech-CAC	39	4880	1	0.99995400
UD_Czech-CAC	40	5002	1	0.99993867
UD_Czech-CAC	41	5124	1	0.99996933
UD_Czech-CAC	42	5246	1	0.99996933
UD_Czech-CAC	43	5368	1	0.99944801
UD_Czech-CAC	44	5490	1	0.99995400
UD_Czech-CAC	45	5612	1	0.99996933
UD_Czech-CAC	46	5734	1	0.99995400
UD_Czech-CAC	47	5856	1	0.99995400
UD_Czech-CAC	48	5978	1	0.99993867
UD_Czech-CAC	49	6100	1	0.99984667
UD_Czech-CAC	50	6222	1	0.99995400
UD_Czech-CAC	51	6344	1	0.99993867
UD_Czech-CAC	52	6466	1	0.99995400
UD_Czech-CAC	53	6588	1	0.99995400
UD_Czech-CAC	54	6710	1	0.99992333
UD_Czech-CAC	55	6832	1	0.99993867
UD_Czech-CAC	56	6954	1	0.99996933
UD_Czech-CAC	57	7076	1	0.99996933
UD_Czech-CAC	58	7198	1	0.99996933
UD_Czech-CAC	59	7320	1	0.99996933
UD_Czech-CAC	60	7442	1	0.99995400
UD_Czech-CAC	61	7564	1	0.99996933
UD_Czech-CAC	62	7686	1	0.99995400
UD_Czech-CAC	63	7808	1	0.99992333
UD_Czech-CAC	64	7930	1	0.99992333
UD_Czech-CAC	65	8052	1	0.99993867
UD_Czech-CAC	66	8174	1	0.99950934
UD_Czech-CAC	67	8296	1	0.99995400
UD_Czech-CAC	68	8418	1	0.99993867
UD_Czech-CAC	69	8540	1	0.99993867
UD_Czech-CAC	70	8662	1	0.99996933
UD_Czech-CAC	71	8784	1	0.99943267
UD_Czech-CAC	72	8906	1	0.99987733
UD_Czech-CAC	73	9028	1	0.99992333
UD_Czech-CAC	74	9150	1	0.99983133
UD_Czech-CAC	75	9272	1	0.99995400
UD_Czech-CAC	76	9394	1	0.99946334
UD_Czech-CAC	77	9516	1	0.99989267
UD_Czech-CAC	78	9638	1	0.99990800
UD_Czech-CAC	79	9760	1	0.99993867
UD_Czech-CAC	80	9882	1	0.99992333
UD_Czech-CAC	81	10004	1	0.99993867
UD_Czech-CAC	82	10126	1	0.99993867
UD_Czech-CAC	83	10248	1	0.99993867
UD_Czech-CAC	84	10370	1	0.99992333
UD_Czech-CAC	85	10492	1	0.99990800
UD_Czech-CAC	86	10614	1	0.99992333
UD_Czech-CAC	87	10736	1	0.99990800
UD_Czech-CAC	88	10858	1	0.99977000
UD_Czech-CAC	89	10980	1	0.99978534
UD_Czech-CAC	90	11102	1	0.99993867
UD_Czech-CAC	91	11224	1	0.99940201
UD_Czech-CAC	92	11346	1	0.99996933
UD_Czech-CAC	93	11468	1	0.99992333
UD_Czech-CAC	94	11590	1	0.99978534
UD_Czech-CAC	95	11712	1	0.99984667
UD_Czech-CAC	96	11834	1	0.99992333
UD_Czech-CAC	97	11956	1	0.99990800
UD_Czech-CAC	98	12078	1	0.99981600
UD_Czech-CAC	99	12200	1	0.99995400
