dataset	no	nbSentences	elman	perf
UD_Finnish-FTB	00	122	0	1.00000000
UD_Finnish-FTB	01	244	0	1.00000000
UD_Finnish-FTB	02	366	0	1.00000000
UD_Finnish-FTB	03	488	0	1.00000000
UD_Finnish-FTB	04	610	0	1.00000000
UD_Finnish-FTB	05	732	0	1.00000000
UD_Finnish-FTB	06	854	0	1.00000000
UD_Finnish-FTB	07	976	0	1.00000000
UD_Finnish-FTB	08	1098	0	1.00000000
UD_Finnish-FTB	09	1220	0	1.00000000
UD_Finnish-FTB	10	1342	0	1.00000000
UD_Finnish-FTB	11	1464	0	1.00000000
UD_Finnish-FTB	12	1586	0	1.00000000
UD_Finnish-FTB	13	1708	0	1.00000000
UD_Finnish-FTB	14	1830	0	1.00000000
UD_Finnish-FTB	15	1952	0	1.00000000
UD_Finnish-FTB	16	2074	0	1.00000000
UD_Finnish-FTB	17	2196	0	1.00000000
UD_Finnish-FTB	18	2318	0	1.00000000
UD_Finnish-FTB	19	2440	0	1.00000000
UD_Finnish-FTB	20	2562	0	1.00000000
UD_Finnish-FTB	21	2684	0	1.00000000
UD_Finnish-FTB	22	2806	0	1.00000000
UD_Finnish-FTB	23	2928	0	1.00000000
UD_Finnish-FTB	24	3050	0	1.00000000
UD_Finnish-FTB	25	3172	0	1.00000000
UD_Finnish-FTB	26	3294	0	1.00000000
UD_Finnish-FTB	27	3416	0	1.00000000
UD_Finnish-FTB	28	3538	0	1.00000000
UD_Finnish-FTB	29	3660	0	1.00000000
UD_Finnish-FTB	30	3782	0	1.00000000
UD_Finnish-FTB	31	3904	0	1.00000000
UD_Finnish-FTB	32	4026	0	1.00000000
UD_Finnish-FTB	33	4148	0	1.00000000
UD_Finnish-FTB	34	4270	0	1.00000000
UD_Finnish-FTB	35	4392	0	1.00000000
UD_Finnish-FTB	36	4514	0	1.00000000
UD_Finnish-FTB	37	4636	0	1.00000000
UD_Finnish-FTB	38	4758	0	1.00000000
UD_Finnish-FTB	39	4880	0	1.00000000
UD_Finnish-FTB	40	5002	0	1.00000000
UD_Finnish-FTB	41	5124	0	1.00000000
UD_Finnish-FTB	42	5246	0	1.00000000
UD_Finnish-FTB	43	5368	0	1.00000000
UD_Finnish-FTB	44	5490	0	1.00000000
UD_Finnish-FTB	45	5612	0	1.00000000
UD_Finnish-FTB	46	5734	0	1.00000000
UD_Finnish-FTB	47	5856	0	1.00000000
UD_Finnish-FTB	48	5978	0	1.00000000
UD_Finnish-FTB	49	6100	0	1.00000000
UD_Finnish-FTB	50	6222	0	1.00000000
UD_Finnish-FTB	51	6344	0	1.00000000
UD_Finnish-FTB	52	6466	0	1.00000000
UD_Finnish-FTB	53	6588	0	1.00000000
UD_Finnish-FTB	54	6710	0	1.00000000
UD_Finnish-FTB	55	6832	0	1.00000000
UD_Finnish-FTB	56	6954	0	1.00000000
UD_Finnish-FTB	57	7076	0	1.00000000
UD_Finnish-FTB	58	7198	0	1.00000000
UD_Finnish-FTB	59	7320	0	1.00000000
UD_Finnish-FTB	60	7442	0	1.00000000
UD_Finnish-FTB	61	7564	0	1.00000000
UD_Finnish-FTB	62	7686	0	1.00000000
UD_Finnish-FTB	63	7808	0	1.00000000
UD_Finnish-FTB	64	7930	0	1.00000000
UD_Finnish-FTB	65	8052	0	1.00000000
UD_Finnish-FTB	66	8174	0	1.00000000
UD_Finnish-FTB	67	8296	0	1.00000000
UD_Finnish-FTB	68	8418	0	1.00000000
UD_Finnish-FTB	69	8540	0	1.00000000
UD_Finnish-FTB	70	8662	0	1.00000000
UD_Finnish-FTB	71	8784	0	1.00000000
UD_Finnish-FTB	72	8906	0	1.00000000
UD_Finnish-FTB	73	9028	0	1.00000000
UD_Finnish-FTB	74	9150	0	1.00000000
UD_Finnish-FTB	75	9272	0	1.00000000
UD_Finnish-FTB	76	9394	0	1.00000000
UD_Finnish-FTB	77	9516	0	1.00000000
UD_Finnish-FTB	78	9638	0	1.00000000
UD_Finnish-FTB	79	9760	0	1.00000000
UD_Finnish-FTB	80	9882	0	1.00000000
UD_Finnish-FTB	81	10004	0	1.00000000
UD_Finnish-FTB	82	10126	0	1.00000000
UD_Finnish-FTB	83	10248	0	1.00000000
UD_Finnish-FTB	84	10370	0	1.00000000
UD_Finnish-FTB	85	10492	0	1.00000000
UD_Finnish-FTB	86	10614	0	1.00000000
UD_Finnish-FTB	87	10736	0	1.00000000
UD_Finnish-FTB	88	10858	0	1.00000000
UD_Finnish-FTB	89	10980	0	1.00000000
UD_Finnish-FTB	90	11102	0	1.00000000
UD_Finnish-FTB	91	11224	0	1.00000000
UD_Finnish-FTB	92	11346	0	1.00000000
UD_Finnish-FTB	93	11468	0	1.00000000
UD_Finnish-FTB	94	11590	0	1.00000000
UD_Finnish-FTB	95	11712	0	1.00000000
UD_Finnish-FTB	96	11834	0	1.00000000
UD_Finnish-FTB	97	11956	0	1.00000000
UD_Finnish-FTB	98	12078	0	1.00000000
UD_Finnish-FTB	99	12200	0	1.00000000
