dataset	no	nbSentences	elman	perf
UD_French-FTB	00	122	0	0.99998591
UD_French-FTB	01	244	0	0.99998591
UD_French-FTB	02	366	0	0.99982382
UD_French-FTB	03	488	0	0.99982382
UD_French-FTB	04	610	0	0.99982382
UD_French-FTB	05	732	0	0.99998591
UD_French-FTB	06	854	0	0.99998591
UD_French-FTB	07	976	0	0.99998591
UD_French-FTB	08	1098	0	0.99998591
UD_French-FTB	09	1220	0	0.99983792
UD_French-FTB	10	1342	0	0.99998591
UD_French-FTB	11	1464	0	0.99982382
UD_French-FTB	12	1586	0	0.99998591
UD_French-FTB	13	1708	0	0.99998591
UD_French-FTB	14	1830	0	0.99998591
UD_French-FTB	15	1952	0	0.99998591
UD_French-FTB	16	2074	0	0.99998591
UD_French-FTB	17	2196	0	0.99998591
UD_French-FTB	18	2318	0	0.99998591
UD_French-FTB	19	2440	0	0.99998591
UD_French-FTB	20	2562	0	0.99998591
UD_French-FTB	21	2684	0	0.99998591
UD_French-FTB	22	2806	0	0.99998591
UD_French-FTB	23	2928	0	0.99998591
UD_French-FTB	24	3050	0	0.99998591
UD_French-FTB	25	3172	0	0.99998591
UD_French-FTB	26	3294	0	0.99998591
UD_French-FTB	27	3416	0	0.99998591
UD_French-FTB	28	3538	0	0.99998591
UD_French-FTB	29	3660	0	0.99998591
UD_French-FTB	30	3782	0	0.99998591
UD_French-FTB	31	3904	0	0.99998591
UD_French-FTB	32	4026	0	0.99998591
UD_French-FTB	33	4148	0	0.99998591
UD_French-FTB	34	4270	0	0.99998591
UD_French-FTB	35	4392	0	0.99998591
UD_French-FTB	36	4514	0	0.99998591
UD_French-FTB	37	4636	0	0.99998591
UD_French-FTB	38	4758	0	0.99998591
UD_French-FTB	39	4880	0	0.99998591
UD_French-FTB	40	5002	0	0.99998591
UD_French-FTB	41	5124	0	0.99998591
UD_French-FTB	42	5246	0	0.99998591
UD_French-FTB	43	5368	0	0.99998591
UD_French-FTB	44	5490	0	0.99998591
UD_French-FTB	45	5612	0	0.99998591
UD_French-FTB	46	5734	0	0.99998591
UD_French-FTB	47	5856	0	0.99998591
UD_French-FTB	48	5978	0	0.99998591
UD_French-FTB	49	6100	0	0.99998591
UD_French-FTB	50	6222	0	0.99998591
UD_French-FTB	51	6344	0	0.99998591
UD_French-FTB	52	6466	0	0.99998591
UD_French-FTB	53	6588	0	0.99998591
UD_French-FTB	54	6710	0	0.99998591
UD_French-FTB	55	6832	0	0.99998591
UD_French-FTB	56	6954	0	0.99998591
UD_French-FTB	57	7076	0	0.99998591
UD_French-FTB	58	7198	0	0.99998591
UD_French-FTB	59	7320	0	0.99998591
UD_French-FTB	60	7442	0	0.99998591
UD_French-FTB	61	7564	0	0.99998591
UD_French-FTB	62	7686	0	0.99998591
UD_French-FTB	63	7808	0	0.99998591
UD_French-FTB	64	7930	0	0.99998591
UD_French-FTB	65	8052	0	0.99998591
UD_French-FTB	66	8174	0	0.99998591
UD_French-FTB	67	8296	0	0.99998591
UD_French-FTB	68	8418	0	0.99998591
UD_French-FTB	69	8540	0	0.99998591
UD_French-FTB	70	8662	0	0.99998591
UD_French-FTB	71	8784	0	0.99998591
UD_French-FTB	72	8906	0	0.99998591
UD_French-FTB	73	9028	0	0.99998591
UD_French-FTB	74	9150	0	0.99998591
UD_French-FTB	75	9272	0	0.99998591
UD_French-FTB	76	9394	0	0.99998591
UD_French-FTB	77	9516	0	0.99998591
UD_French-FTB	78	9638	0	0.99998591
UD_French-FTB	79	9760	0	0.99998591
UD_French-FTB	80	9882	0	0.99998591
UD_French-FTB	81	10004	0	0.99998591
UD_French-FTB	82	10126	0	0.99998591
UD_French-FTB	83	10248	0	0.99998591
UD_French-FTB	84	10370	0	0.99998591
UD_French-FTB	85	10492	0	0.99998591
UD_French-FTB	86	10614	0	0.99998591
UD_French-FTB	87	10736	0	0.99998591
UD_French-FTB	88	10858	0	0.99998591
UD_French-FTB	89	10980	0	0.99998591
UD_French-FTB	90	11102	0	0.99998591
UD_French-FTB	91	11224	0	0.99998591
UD_French-FTB	92	11346	0	0.99998591
UD_French-FTB	93	11468	0	0.99998591
UD_French-FTB	94	11590	0	0.99998591
UD_French-FTB	95	11712	0	0.99998591
UD_French-FTB	96	11834	0	0.99998591
UD_French-FTB	97	11956	0	0.99998591
UD_French-FTB	98	12078	0	0.99998591
UD_French-FTB	99	12200	0	0.99998591
