dataset	no	nbSentences	elman	perf
UD_German	00	122	0	0.99611463
UD_German	01	244	0	0.99647439
UD_German	02	366	0	0.99655662
UD_German	03	488	0	0.99674163
UD_German	04	610	0	0.99694721
UD_German	05	732	0	0.99665940
UD_German	06	854	0	0.99672108
UD_German	07	976	0	0.99661829
UD_German	08	1098	0	0.99664912
UD_German	09	1220	0	0.99684442
UD_German	10	1342	0	0.99672108
UD_German	11	1464	0	0.99693693
UD_German	12	1586	0	0.99891045
UD_German	13	1708	0	0.99952718
UD_German	14	1830	0	0.99950662
UD_German	15	1952	0	0.99954773
UD_German	16	2074	0	0.99950662
UD_German	17	2196	0	0.99953746
UD_German	18	2318	0	0.99955801
UD_German	19	2440	0	0.99961969
UD_German	20	2562	0	0.99961969
UD_German	21	2684	0	0.99961969
UD_German	22	2806	0	0.99959913
UD_German	23	2928	0	0.99954773
UD_German	24	3050	0	0.99957857
UD_German	25	3172	0	0.99955801
UD_German	26	3294	0	0.99954773
UD_German	27	3416	0	0.99957857
UD_German	28	3538	0	0.99960941
UD_German	29	3660	0	0.99961969
UD_German	30	3782	0	0.99960941
UD_German	31	3904	0	0.99959913
UD_German	32	4026	0	0.99960941
UD_German	33	4148	0	0.99958885
UD_German	34	4270	0	0.99954773
UD_German	35	4392	0	0.99951690
UD_German	36	4514	0	0.99954773
UD_German	37	4636	0	0.99954773
UD_German	38	4758	0	0.99954773
UD_German	39	4880	0	0.99954773
UD_German	40	5002	0	0.99954773
UD_German	41	5124	0	0.99953746
UD_German	42	5246	0	0.99951690
UD_German	43	5368	0	0.99952718
UD_German	44	5490	0	0.99955801
UD_German	45	5612	0	0.99955801
UD_German	46	5734	0	0.99954773
UD_German	47	5856	0	0.99953746
UD_German	48	5978	0	0.99956829
UD_German	49	6100	0	0.99953746
UD_German	50	6222	0	0.99952718
UD_German	51	6344	0	0.99954773
UD_German	52	6466	0	0.99953746
UD_German	53	6588	0	0.99957857
UD_German	54	6710	0	0.99956829
UD_German	55	6832	0	0.99950662
UD_German	56	6954	0	0.99950662
UD_German	57	7076	0	0.99954773
UD_German	58	7198	0	0.99953746
UD_German	59	7320	0	0.99953746
UD_German	60	7442	0	0.99953746
UD_German	61	7564	0	0.99953746
UD_German	62	7686	0	0.99953746
UD_German	63	7808	0	0.99953746
UD_German	64	7930	0	0.99951690
UD_German	65	8052	0	0.99951690
UD_German	66	8174	0	0.99951690
UD_German	67	8296	0	0.99948606
UD_German	68	8418	0	0.99950662
UD_German	69	8540	0	0.99949634
UD_German	70	8662	0	0.99947578
UD_German	71	8784	0	0.99944495
UD_German	72	8906	0	0.99947578
UD_German	73	9028	0	0.99948606
UD_German	74	9150	0	0.99946550
UD_German	75	9272	0	0.99944495
UD_German	76	9394	0	0.99946550
UD_German	77	9516	0	0.99938327
UD_German	78	9638	0	0.99944495
UD_German	79	9760	0	0.99944495
UD_German	80	9882	0	0.99944495
UD_German	81	10004	0	0.99944495
UD_German	82	10126	0	0.99944495
UD_German	83	10248	0	0.99941411
UD_German	84	10370	0	0.99943467
UD_German	85	10492	0	0.99944495
UD_German	86	10614	0	0.99943467
UD_German	87	10736	0	0.99945523
UD_German	88	10858	0	0.99943467
UD_German	89	10980	0	0.99948606
UD_German	90	11102	0	0.99948606
UD_German	91	11224	0	0.99948606
UD_German	92	11346	0	0.99948606
UD_German	93	11468	0	0.99943467
UD_German	94	11590	0	0.99935244
UD_German	95	11712	0	0.99940383
UD_German	96	11834	0	0.99948606
UD_German	97	11956	0	0.99947578
UD_German	98	12078	0	0.99949634
UD_German	99	12200	0	0.99948606
