dataset	no	nbSentences	elman	perf
UD_Italian	00	122	1	0.99855700
UD_Italian	01	244	1	0.99846330
UD_Italian	02	366	1	0.99825715
UD_Italian	03	488	1	0.99863196
UD_Italian	04	610	1	0.99848204
UD_Italian	05	732	1	0.99865070
UD_Italian	06	854	1	0.99850078
UD_Italian	07	976	1	0.99846330
UD_Italian	08	1098	1	0.99842582
UD_Italian	09	1220	1	0.99844456
UD_Italian	10	1342	1	0.99887558
UD_Italian	11	1464	1	0.99883810
UD_Italian	12	1586	1	0.99857574
UD_Italian	13	1708	1	0.99859448
UD_Italian	14	1830	1	0.99900677
UD_Italian	15	1952	1	0.99908173
UD_Italian	16	2074	1	0.99906299
UD_Italian	17	2196	1	0.99865070
UD_Italian	18	2318	1	0.99896928
UD_Italian	19	2440	1	0.99896928
UD_Italian	20	2562	1	0.99868818
UD_Italian	21	2684	1	0.99853826
UD_Italian	22	2806	1	0.99868818
UD_Italian	23	2928	1	0.99900677
UD_Italian	24	3050	1	0.99915669
UD_Italian	25	3172	1	0.99919417
UD_Italian	26	3294	1	0.99917543
UD_Italian	27	3416	1	0.99910047
UD_Italian	28	3538	1	0.99923165
UD_Italian	29	3660	1	0.99932535
UD_Italian	30	3782	1	0.99962519
UD_Italian	31	3904	1	0.99973764
UD_Italian	32	4026	1	0.99975638
UD_Italian	33	4148	1	0.99968142
UD_Italian	34	4270	1	0.99930661
UD_Italian	35	4392	1	0.99953149
UD_Italian	36	4514	1	0.99960645
UD_Italian	37	4636	1	0.99953149
UD_Italian	38	4758	1	0.99956897
UD_Italian	39	4880	1	0.99962519
UD_Italian	40	5002	1	0.99941905
UD_Italian	41	5124	1	0.99966267
UD_Italian	42	5246	1	0.99951275
UD_Italian	43	5368	1	0.99958771
UD_Italian	44	5490	1	0.99941905
UD_Italian	45	5612	1	0.99958771
UD_Italian	46	5734	1	0.99964393
UD_Italian	47	5856	1	0.99949401
UD_Italian	48	5978	1	0.99968142
UD_Italian	49	6100	1	0.99955023
UD_Italian	50	6222	1	0.99968142
UD_Italian	51	6344	1	0.99977512
UD_Italian	52	6466	1	0.99968142
UD_Italian	53	6588	1	0.99973764
UD_Italian	54	6710	1	0.99971890
UD_Italian	55	6832	1	0.99971890
UD_Italian	56	6954	1	0.99977512
UD_Italian	57	7076	1	0.99973764
UD_Italian	58	7198	1	0.99979386
UD_Italian	59	7320	1	0.99977512
UD_Italian	60	7442	1	0.99979386
UD_Italian	61	7564	1	0.99973764
UD_Italian	62	7686	1	0.99966267
UD_Italian	63	7808	1	0.99968142
UD_Italian	64	7930	1	0.99985008
UD_Italian	65	8052	1	0.99971890
UD_Italian	66	8174	1	0.99966267
UD_Italian	67	8296	1	0.99971890
UD_Italian	68	8418	1	0.99975638
UD_Italian	69	8540	1	0.99977512
UD_Italian	70	8662	1	0.99966267
UD_Italian	71	8784	1	0.99971890
UD_Italian	72	8906	1	0.99966267
UD_Italian	73	9028	1	0.99964393
UD_Italian	74	9150	1	0.99979386
UD_Italian	75	9272	1	0.99971890
UD_Italian	76	9394	1	0.99932535
UD_Italian	77	9516	1	0.99977512
UD_Italian	78	9638	1	0.99983134
UD_Italian	79	9760	1	0.99986882
UD_Italian	80	9882	1	0.99983134
UD_Italian	81	10004	1	0.99979386
UD_Italian	82	10126	1	0.99975638
UD_Italian	83	10248	1	0.99985008
UD_Italian	84	10370	1	0.99979386
UD_Italian	85	10492	1	0.99973764
UD_Italian	86	10614	1	0.99981260
UD_Italian	87	10736	1	0.99979386
UD_Italian	88	10858	1	0.99973764
UD_Italian	89	10980	1	0.99971890
UD_Italian	90	11102	1	0.99979386
UD_Italian	91	11224	1	0.99971890
UD_Italian	92	11346	1	0.99971890
UD_Italian	93	11468	1	0.99975638
UD_Italian	94	11590	1	0.99994378
UD_Italian	95	11712	1	0.99981260
UD_Italian	96	11834	1	0.99979386
UD_Italian	97	11956	1	0.99981260
UD_Italian	98	12078	1	0.99979386
UD_Italian	99	12200	1	0.99971890
