dataset	no	nbSentences	elman	perf
UD_Norwegian-Bokmaal	00	122	0	0.99765831
UD_Norwegian-Bokmaal	01	244	0	0.99805584
UD_Norwegian-Bokmaal	02	366	0	0.99869561
UD_Norwegian-Bokmaal	03	488	0	0.99901860
UD_Norwegian-Bokmaal	04	610	0	0.99959626
UD_Norwegian-Bokmaal	05	732	0	0.99975776
UD_Norwegian-Bokmaal	06	854	0	0.99974533
UD_Norwegian-Bokmaal	07	976	0	0.99978260
UD_Norwegian-Bokmaal	08	1098	0	0.99965837
UD_Norwegian-Bokmaal	09	1220	0	0.99968322
UD_Norwegian-Bokmaal	10	1342	0	0.99968943
UD_Norwegian-Bokmaal	11	1464	0	0.99965216
UD_Norwegian-Bokmaal	12	1586	0	0.99964595
UD_Norwegian-Bokmaal	13	1708	0	0.99950930
UD_Norwegian-Bokmaal	14	1830	0	0.99977639
UD_Norwegian-Bokmaal	15	1952	0	0.99977018
UD_Norwegian-Bokmaal	16	2074	0	0.99974533
UD_Norwegian-Bokmaal	17	2196	0	0.99973912
UD_Norwegian-Bokmaal	18	2318	0	0.99973912
UD_Norwegian-Bokmaal	19	2440	0	0.99978260
UD_Norwegian-Bokmaal	20	2562	0	0.99972049
UD_Norwegian-Bokmaal	21	2684	0	0.99978260
UD_Norwegian-Bokmaal	22	2806	0	0.99973912
UD_Norwegian-Bokmaal	23	2928	0	0.99976397
UD_Norwegian-Bokmaal	24	3050	0	0.99978881
UD_Norwegian-Bokmaal	25	3172	0	0.99980745
UD_Norwegian-Bokmaal	26	3294	0	0.99973291
UD_Norwegian-Bokmaal	27	3416	0	0.99973912
UD_Norwegian-Bokmaal	28	3538	0	0.99956520
UD_Norwegian-Bokmaal	29	3660	0	0.99980745
UD_Norwegian-Bokmaal	30	3782	0	0.99955278
UD_Norwegian-Bokmaal	31	3904	0	0.99955278
UD_Norwegian-Bokmaal	32	4026	0	0.99981366
UD_Norwegian-Bokmaal	33	4148	0	0.99980745
UD_Norwegian-Bokmaal	34	4270	0	0.99980745
UD_Norwegian-Bokmaal	35	4392	0	0.99980745
UD_Norwegian-Bokmaal	36	4514	0	0.99981366
UD_Norwegian-Bokmaal	37	4636	0	0.99981987
UD_Norwegian-Bokmaal	38	4758	0	0.99982608
UD_Norwegian-Bokmaal	39	4880	0	0.99980745
UD_Norwegian-Bokmaal	40	5002	0	0.99981987
UD_Norwegian-Bokmaal	41	5124	0	0.99983229
UD_Norwegian-Bokmaal	42	5246	0	0.99982608
UD_Norwegian-Bokmaal	43	5368	0	0.99983229
UD_Norwegian-Bokmaal	44	5490	0	0.99981987
UD_Norwegian-Bokmaal	45	5612	0	0.99981366
UD_Norwegian-Bokmaal	46	5734	0	0.99981366
UD_Norwegian-Bokmaal	47	5856	0	0.99981366
