dataset	no	nbSentences	elman	perf
UD_Spanish	00	122	0	0.99966168
UD_Spanish	01	244	0	0.99972612
UD_Spanish	02	366	0	0.99972612
UD_Spanish	03	488	0	0.99977446
UD_Spanish	04	610	0	0.99977446
UD_Spanish	05	732	0	0.99985501
UD_Spanish	06	854	0	0.99985501
UD_Spanish	07	976	0	0.99991945
UD_Spanish	08	1098	0	0.99985501
UD_Spanish	09	1220	0	0.99974223
UD_Spanish	10	1342	0	0.99972612
UD_Spanish	11	1464	0	0.99991945
UD_Spanish	12	1586	0	0.99991945
UD_Spanish	13	1708	0	0.99991945
UD_Spanish	14	1830	0	0.99990334
UD_Spanish	15	1952	0	0.99980668
UD_Spanish	16	2074	0	0.99980668
UD_Spanish	17	2196	0	0.99980668
UD_Spanish	18	2318	0	0.99982279
UD_Spanish	19	2440	0	0.99990334
UD_Spanish	20	2562	0	0.99990334
UD_Spanish	21	2684	0	0.99991945
UD_Spanish	22	2806	0	0.99991945
UD_Spanish	23	2928	0	0.99991945
UD_Spanish	24	3050	0	0.99988723
UD_Spanish	25	3172	0	0.99985501
UD_Spanish	26	3294	0	0.99991945
UD_Spanish	27	3416	0	0.99991945
UD_Spanish	28	3538	0	0.99991945
UD_Spanish	29	3660	0	0.99985501
UD_Spanish	30	3782	0	0.99985501
UD_Spanish	31	3904	0	0.99977446
UD_Spanish	32	4026	0	0.99983890
UD_Spanish	33	4148	0	0.99982279
UD_Spanish	34	4270	0	0.99982279
UD_Spanish	35	4392	0	0.99988723
UD_Spanish	36	4514	0	0.99982279
UD_Spanish	37	4636	0	0.99990334
UD_Spanish	38	4758	0	0.99990334
UD_Spanish	39	4880	0	0.99991945
UD_Spanish	40	5002	0	0.99990334
UD_Spanish	41	5124	0	0.99990334
UD_Spanish	42	5246	0	0.99975835
UD_Spanish	43	5368	0	0.99990334
UD_Spanish	44	5490	0	0.99990334
UD_Spanish	45	5612	0	0.99975835
UD_Spanish	46	5734	0	0.99990334
UD_Spanish	47	5856	0	0.99990334
UD_Spanish	48	5978	0	0.99990334
UD_Spanish	49	6100	0	0.99990334
UD_Spanish	50	6222	0	0.99990334
UD_Spanish	51	6344	0	0.99990334
UD_Spanish	52	6466	0	0.99990334
UD_Spanish	53	6588	0	0.99990334
UD_Spanish	54	6710	0	0.99990334
UD_Spanish	55	6832	0	0.99990334
UD_Spanish	56	6954	0	0.99990334
UD_Spanish	57	7076	0	0.99990334
UD_Spanish	58	7198	0	0.99990334
UD_Spanish	59	7320	0	0.99990334
UD_Spanish	60	7442	0	0.99990334
UD_Spanish	61	7564	0	0.99990334
UD_Spanish	62	7686	0	0.99975835
UD_Spanish	63	7808	0	0.99990334
UD_Spanish	64	7930	0	0.99990334
UD_Spanish	65	8052	0	0.99975835
UD_Spanish	66	8174	0	0.99990334
UD_Spanish	67	8296	0	0.99990334
UD_Spanish	68	8418	0	0.99990334
UD_Spanish	69	8540	0	0.99990334
UD_Spanish	70	8662	0	0.99990334
UD_Spanish	71	8784	0	0.99990334
UD_Spanish	72	8906	0	0.99990334
UD_Spanish	73	9028	0	0.99990334
UD_Spanish	74	9150	0	0.99990334
UD_Spanish	75	9272	0	0.99990334
UD_Spanish	76	9394	0	0.99990334
UD_Spanish	77	9516	0	0.99990334
UD_Spanish	78	9638	0	0.99990334
UD_Spanish	79	9760	0	0.99990334
UD_Spanish	80	9882	0	0.99990334
UD_Spanish	81	10004	0	0.99990334
UD_Spanish	82	10126	0	0.99990334
UD_Spanish	83	10248	0	0.99990334
UD_Spanish	84	10370	0	0.99990334
UD_Spanish	85	10492	0	0.99988723
UD_Spanish	86	10614	0	0.99990334
UD_Spanish	87	10736	0	0.99988723
UD_Spanish	88	10858	0	0.99991945
UD_Spanish	89	10980	0	0.99990334
UD_Spanish	90	11102	0	0.99990334
UD_Spanish	91	11224	0	0.99990334
UD_Spanish	92	11346	0	0.99990334
UD_Spanish	93	11468	0	0.99990334
UD_Spanish	94	11590	0	0.99990334
UD_Spanish	95	11712	0	0.99991945
UD_Spanish	96	11834	0	0.99990334
UD_Spanish	97	11956	0	0.99991945
UD_Spanish	98	12078	0	0.99991945
UD_Spanish	99	12200	0	0.99991945
