dataset	no	nbSentences	elman	perf
UD_Ancient_Greek-PROIEL	00	122	0	1.00000000
UD_Ancient_Greek-PROIEL	01	244	0	1.00000000
UD_Ancient_Greek-PROIEL	02	366	0	1.00000000
UD_Ancient_Greek-PROIEL	03	488	0	1.00000000
UD_Ancient_Greek-PROIEL	04	610	0	1.00000000
UD_Ancient_Greek-PROIEL	05	732	0	1.00000000
UD_Ancient_Greek-PROIEL	06	854	0	1.00000000
UD_Ancient_Greek-PROIEL	07	976	0	1.00000000
UD_Ancient_Greek-PROIEL	08	1098	0	1.00000000
UD_Ancient_Greek-PROIEL	09	1220	0	1.00000000
UD_Ancient_Greek-PROIEL	10	1342	0	1.00000000
UD_Ancient_Greek-PROIEL	11	1464	0	1.00000000
UD_Ancient_Greek-PROIEL	12	1586	0	1.00000000
UD_Ancient_Greek-PROIEL	13	1708	0	1.00000000
UD_Ancient_Greek-PROIEL	14	1830	0	1.00000000
UD_Ancient_Greek-PROIEL	15	1952	0	1.00000000
UD_Ancient_Greek-PROIEL	16	2074	0	1.00000000
UD_Ancient_Greek-PROIEL	17	2196	0	1.00000000
UD_Ancient_Greek-PROIEL	18	2318	0	1.00000000
UD_Ancient_Greek-PROIEL	19	2440	0	1.00000000
UD_Ancient_Greek-PROIEL	20	2562	0	1.00000000
UD_Ancient_Greek-PROIEL	21	2684	0	1.00000000
UD_Ancient_Greek-PROIEL	22	2806	0	1.00000000
UD_Ancient_Greek-PROIEL	23	2928	0	1.00000000
UD_Ancient_Greek-PROIEL	24	3050	0	1.00000000
UD_Ancient_Greek-PROIEL	25	3172	0	1.00000000
UD_Ancient_Greek-PROIEL	26	3294	0	1.00000000
UD_Ancient_Greek-PROIEL	27	3416	0	1.00000000
UD_Ancient_Greek-PROIEL	28	3538	0	1.00000000
UD_Ancient_Greek-PROIEL	29	3660	0	1.00000000
UD_Ancient_Greek-PROIEL	30	3782	0	1.00000000
UD_Ancient_Greek-PROIEL	31	3904	0	1.00000000
UD_Ancient_Greek-PROIEL	32	4026	0	1.00000000
UD_Ancient_Greek-PROIEL	33	4148	0	1.00000000
UD_Ancient_Greek-PROIEL	34	4270	0	1.00000000
UD_Ancient_Greek-PROIEL	35	4392	0	1.00000000
UD_Ancient_Greek-PROIEL	36	4514	0	1.00000000
UD_Ancient_Greek-PROIEL	37	4636	0	1.00000000
UD_Ancient_Greek-PROIEL	38	4758	0	1.00000000
UD_Ancient_Greek-PROIEL	39	4880	0	1.00000000
UD_Ancient_Greek-PROIEL	40	5002	0	1.00000000
UD_Ancient_Greek-PROIEL	41	5124	0	1.00000000
UD_Ancient_Greek-PROIEL	42	5246	0	1.00000000
UD_Ancient_Greek-PROIEL	43	5368	0	1.00000000
UD_Ancient_Greek-PROIEL	44	5490	0	1.00000000
UD_Ancient_Greek-PROIEL	45	5612	0	1.00000000
UD_Ancient_Greek-PROIEL	46	5734	0	1.00000000
UD_Ancient_Greek-PROIEL	47	5856	0	1.00000000
UD_Ancient_Greek-PROIEL	48	5978	0	1.00000000
UD_Ancient_Greek-PROIEL	49	6100	0	1.00000000
UD_Ancient_Greek-PROIEL	50	6222	0	1.00000000
UD_Ancient_Greek-PROIEL	51	6344	0	1.00000000
UD_Ancient_Greek-PROIEL	52	6466	0	1.00000000
UD_Ancient_Greek-PROIEL	53	6588	0	1.00000000
UD_Ancient_Greek-PROIEL	54	6710	0	1.00000000
UD_Ancient_Greek-PROIEL	55	6832	0	1.00000000
UD_Ancient_Greek-PROIEL	56	6954	0	1.00000000
UD_Ancient_Greek-PROIEL	57	7076	0	1.00000000
UD_Ancient_Greek-PROIEL	58	7198	0	1.00000000
UD_Ancient_Greek-PROIEL	59	7320	0	1.00000000
UD_Ancient_Greek-PROIEL	60	7442	0	1.00000000
UD_Ancient_Greek-PROIEL	61	7564	0	1.00000000
UD_Ancient_Greek-PROIEL	62	7686	0	1.00000000
UD_Ancient_Greek-PROIEL	63	7808	0	1.00000000
UD_Ancient_Greek-PROIEL	64	7930	0	1.00000000
UD_Ancient_Greek-PROIEL	65	8052	0	1.00000000
UD_Ancient_Greek-PROIEL	66	8174	0	1.00000000
UD_Ancient_Greek-PROIEL	67	8296	0	1.00000000
UD_Ancient_Greek-PROIEL	68	8418	0	1.00000000
UD_Ancient_Greek-PROIEL	69	8540	0	1.00000000
UD_Ancient_Greek-PROIEL	70	8662	0	1.00000000
UD_Ancient_Greek-PROIEL	71	8784	0	1.00000000
UD_Ancient_Greek-PROIEL	72	8906	0	1.00000000
UD_Ancient_Greek-PROIEL	73	9028	0	1.00000000
UD_Ancient_Greek-PROIEL	74	9150	0	1.00000000
UD_Ancient_Greek-PROIEL	75	9272	0	1.00000000
UD_Ancient_Greek-PROIEL	76	9394	0	1.00000000
UD_Ancient_Greek-PROIEL	77	9516	0	1.00000000
UD_Ancient_Greek-PROIEL	78	9638	0	1.00000000
UD_Ancient_Greek-PROIEL	79	9760	0	1.00000000
UD_Ancient_Greek-PROIEL	80	9882	0	1.00000000
UD_Ancient_Greek-PROIEL	81	10004	0	1.00000000
UD_Ancient_Greek-PROIEL	82	10126	0	1.00000000
UD_Ancient_Greek-PROIEL	83	10248	0	1.00000000
UD_Ancient_Greek-PROIEL	84	10370	0	1.00000000
UD_Ancient_Greek-PROIEL	85	10492	0	1.00000000
UD_Ancient_Greek-PROIEL	86	10614	0	1.00000000
UD_Ancient_Greek-PROIEL	87	10736	0	1.00000000
UD_Ancient_Greek-PROIEL	88	10858	0	1.00000000
UD_Ancient_Greek-PROIEL	89	10980	0	1.00000000
UD_Ancient_Greek-PROIEL	90	11102	0	1.00000000
UD_Ancient_Greek-PROIEL	91	11224	0	1.00000000
UD_Ancient_Greek-PROIEL	92	11346	0	1.00000000
UD_Ancient_Greek-PROIEL	93	11468	0	1.00000000
UD_Ancient_Greek-PROIEL	94	11590	0	1.00000000
UD_Ancient_Greek-PROIEL	95	11712	0	1.00000000
UD_Ancient_Greek-PROIEL	96	11834	0	1.00000000
UD_Ancient_Greek-PROIEL	97	11956	0	1.00000000
UD_Ancient_Greek-PROIEL	98	12078	0	1.00000000
UD_Ancient_Greek-PROIEL	99	12200	0	1.00000000
UD_Arabic-NYUAD	00	122	0	1.00000000
UD_Arabic-NYUAD	01	244	0	1.00000000
UD_Arabic-NYUAD	02	366	0	1.00000000
UD_Arabic-NYUAD	03	488	0	1.00000000
UD_Arabic-NYUAD	04	610	0	1.00000000
UD_Arabic-NYUAD	05	732	0	1.00000000
UD_Arabic-NYUAD	06	854	0	1.00000000
UD_Arabic-NYUAD	07	976	0	1.00000000
UD_Arabic-NYUAD	08	1098	0	1.00000000
UD_Arabic-NYUAD	09	1220	0	1.00000000
UD_Arabic-NYUAD	10	1342	0	1.00000000
UD_Arabic-NYUAD	11	1464	0	1.00000000
UD_Arabic-NYUAD	12	1586	0	1.00000000
UD_Arabic-NYUAD	13	1708	0	1.00000000
UD_Arabic-NYUAD	14	1830	0	1.00000000
UD_Arabic-NYUAD	15	1952	0	1.00000000
UD_Arabic-NYUAD	16	2074	0	1.00000000
UD_Arabic-NYUAD	17	2196	0	1.00000000
UD_Arabic-NYUAD	18	2318	0	1.00000000
UD_Arabic-NYUAD	19	2440	0	1.00000000
UD_Arabic-NYUAD	20	2562	0	1.00000000
UD_Arabic-NYUAD	21	2684	0	1.00000000
UD_Arabic-NYUAD	22	2806	0	1.00000000
UD_Arabic-NYUAD	23	2928	0	1.00000000
UD_Arabic-NYUAD	24	3050	0	1.00000000
UD_Arabic-NYUAD	25	3172	0	1.00000000
UD_Arabic-NYUAD	26	3294	0	1.00000000
UD_Arabic-NYUAD	27	3416	0	1.00000000
UD_Arabic-NYUAD	28	3538	0	1.00000000
UD_Arabic-NYUAD	29	3660	0	1.00000000
UD_Arabic-NYUAD	30	3782	0	1.00000000
UD_Arabic-NYUAD	31	3904	0	1.00000000
UD_Arabic-NYUAD	32	4026	0	1.00000000
UD_Arabic-NYUAD	33	4148	0	1.00000000
UD_Arabic-NYUAD	34	4270	0	1.00000000
UD_Arabic-NYUAD	35	4392	0	1.00000000
UD_Arabic-NYUAD	36	4514	0	1.00000000
