ar	UD_Arabic
be	UD_Belarusian
bg	UD_Bulgarian
ca	UD_Catalan
cop	UD_Coptic
cs	UD_Czech
cu	UD_Old_Church_Slavonic
da	UD_Danish
de	UD_German
el	UD_Greek
en	UD_English
es	UD_Spanish
et	UD_Estonian
eu	UD_Basque
fa	UD_Persian
fi	UD_Finnish
fr	UD_French
ga	UD_Irish
gl	UD_Galician
got	UD_Gothic
grc	UD_Ancient_Greek
he	UD_Hebrew
hi	UD_Hindi
hr	UD_Croatian
hu	UD_Hungarian
id	UD_Indonesian
it	UD_Italian
ja	UD_Japanese
kk	UD_Kazakh
ko	UD_Korean
la	UD_Latin
lt	UD_Lithuanian
lv	UD_Latvian
nl	UD_Dutch
no	UD_Norwegian-Bokmaal
pl	UD_Polish
pt	UD_Portuguese
ro	UD_Romanian
ru	UD_Russian
sa	UD_Sanskrit
sk	UD_Slovak
sl	UD_Slovenian
sv	UD_Swedish
ta	UD_Tamil
tr	UD_Turkish
ug	UD_Uyghur
uk	UD_Ukrainian
ur	UD_Urdu
vi	UD_Vietnamese
zh	UD_Chinese
